engine_size,horsepower,mileage,age,brand_score,price,expensive
3.73,232.0,21.4,2,1.27,57505.23,0
1.92,126.0,39.2,1,1.73,22291.99,0
5.85,358.0,48.0,19,5.09,60218.01,1
4.88,375.0,40.8,10,1.4,79044.98,1
5.7,357.0,46.4,19,5.78,78034.39,1
5.47,514.0,14.8,8,1.26,113794.41,1
3.99,353.0,47.0,15,7.07,75823.61,1
5.61,512.0,38.4,15,9.64,120903.7,1
1.44,122.0,42.9,15,7.29,15058.17,0
1.98,171.0,26.8,2,3.15,37438.23,0
1.23,79.0,32.8,6,1.13,11739.48,0
2.63,164.0,34.5,2,4.21,35438.08,0
2.94,293.0,30.8,19,1.58,56665.96,0
2.36,177.0,13.9,9,1.4,32014.88,0
5.14,319.0,19.3,13,6.61,74123.75,1
2.78,185.0,15.6,19,2.78,43826.45,0
2.4,228.0,43.1,14,8.2,42137.61,0
3.71,253.0,24.9,18,3.32,47197.4,0
1.7,134.0,21.5,15,6.21,29670.14,0
5.01,434.0,18.7,9,1.45,93503.35,1
1.37,135.0,38.1,16,9.66,27295.56,0
5.93,359.0,30.8,14,7.81,79116.16,1
4.86,386.0,33.7,3,2.11,89992.93,1
1.99,199.0,40.3,15,5.26,33228.47,0
1.03,67.0,48.8,15,5.17,7223.27,0
5.08,330.0,39.6,9,3.27,74909.51,1
4.53,288.0,48.8,5,4.34,64896.76,1
4.65,373.0,37.9,8,4.08,83092.8,1
4.86,359.0,37.1,15,6.19,76690.58,1
1.37,121.0,15.8,1,5.06,27305.25,0
2.79,231.0,13.7,7,3.71,48454.94,0
1.58,132.0,11.0,13,2.55,28148.27,0
5.32,428.0,37.7,6,7.97,90084.72,1
4.12,411.0,36.0,19,1.29,82240.3,1
2.65,216.0,35.3,14,1.88,28516.12,0
1.32,83.0,35.0,3,7.68,22591.83,0
2.55,186.0,37.5,2,9.3,49945.09,0
2.63,240.0,43.4,13,9.46,48635.62,0
4.65,396.0,39.0,7,4.79,89443.23,1
4.19,366.0,34.0,8,9.05,80412.77,1
5.44,527.0,18.7,3,6.91,129231.75,1
3.36,261.0,40.7,16,2.09,49664.98,0
1.6,97.0,20.0,11,7.22,21832.43,0
4.57,455.0,37.2,2,7.75,107672.1,1
4.8,375.0,15.4,13,5.9,85881.13,1
3.81,243.0,30.4,19,5.12,50407.27,0
4.85,397.0,35.3,17,6.17,89792.23,1
3.47,290.0,42.6,17,2.77,54709.84,0
3.61,298.0,38.1,11,4.62,64704.82,1
3.14,310.0,42.3,5,4.07,68158.73,1
1.13,82.0,44.2,4,5.72,11429.9,0
1.54,95.0,45.1,7,9.7,17785.66,0
1.16,112.0,45.2,7,1.23,17891.27,0
4.18,283.0,20.5,10,3.96,70951.7,1
2.57,231.0,42.3,15,1.69,38705.21,0
3.54,241.0,10.7,17,1.88,56976.07,0
5.54,516.0,47.4,12,1.13,101448.74,1
2.25,217.0,17.4,7,8.55,55843.18,0
3.05,196.0,45.3,8,3.98,37822.47,0
4.78,315.0,42.2,16,3.72,66881.81,1
2.14,208.0,25.6,5,3.36,49030.8,0
1.38,125.0,48.5,6,2.03,19954.61,0
2.45,151.0,13.8,15,4.94,35788.41,0
1.81,122.0,21.6,9,2.76,24493.4,0
5.65,432.0,20.1,6,9.43,109135.32,1
5.04,477.0,10.3,12,7.74,117287.66,1
4.17,275.0,16.6,5,7.6,70726.38,1
5.36,477.0,41.8,8,4.56,109704.28,1
5.02,318.0,43.3,18,3.86,73008.34,1
1.93,152.0,39.8,2,6.04,36929.99,0
5.46,487.0,31.9,16,8.13,100225.62,1
3.7,232.0,35.3,16,1.58,44306.22,0
5.04,344.0,33.3,9,7.17,71555.98,1
5.48,502.0,20.1,12,2.71,106475.41,1
2.59,172.0,25.4,18,9.08,44422.76,0
1.55,134.0,42.7,10,4.78,16601.77,0
2.14,183.0,13.8,8,6.43,38854.75,0
3.14,254.0,11.5,10,9.25,60597.9,1
5.09,346.0,37.5,10,5.54,75554.06,1
5.3,406.0,43.5,10,2.23,88364.57,1
1.03,87.0,34.7,15,9.98,18403.51,0
3.55,338.0,40.5,9,6.1,74162.55,1
3.09,284.0,49.1,10,4.92,46679.45,0
2.11,178.0,35.2,14,8.85,38041.33,0
1.6,111.0,27.8,8,7.74,23826.27,0
2.69,185.0,49.7,13,8.77,37965.27,0
5.71,528.0,35.1,14,4.02,117138.53,1
2.62,227.0,17.1,13,7.39,50481.5,0
3.59,267.0,37.4,14,6.57,64265.34,1
4.52,447.0,39.7,5,7.24,100112.13,1
2.82,270.0,10.5,8,3.0,57619.09,0
5.86,509.0,27.3,6,1.69,109872.35,1
5.81,434.0,47.9,1,2.59,100772.12,1
2.26,164.0,42.6,4,4.73,33861.91,0
3.49,341.0,18.2,18,1.39,69294.61,1
2.5,194.0,22.2,12,9.06,52142.6,0
2.42,223.0,36.4,12,5.22,38923.02,0
1.18,115.0,46.5,6,4.86,17646.31,0
4.05,323.0,45.1,9,5.77,72316.61,1
3.51,302.0,19.7,5,3.71,69267.89,1
1.26,80.0,37.3,13,7.44,7916.93,0
2.39,206.0,32.6,4,1.81,48428.6,0
5.54,380.0,25.0,0,2.85,93341.54,1
2.2,191.0,22.0,3,3.63,39440.82,0
1.72,110.0,29.9,7,4.84,22769.3,0
3.45,275.0,32.7,11,8.38,60417.21,1
5.93,479.0,46.0,13,2.02,101490.59,1
2.21,175.0,40.0,15,5.16,42405.37,0
4.36,394.0,12.4,2,8.62,101035.57,1
4.81,434.0,17.1,15,9.54,102108.7,1
2.19,193.0,19.5,16,5.33,45312.63,0
4.64,396.0,18.2,1,3.58,95655.68,1
2.84,273.0,21.8,16,8.35,46121.74,0
4.16,345.0,26.3,10,6.59,82597.18,1
4.17,308.0,10.7,12,8.65,77182.31,1
3.68,230.0,12.7,13,7.24,56192.22,0
1.45,118.0,36.5,11,6.47,28119.36,0
5.18,358.0,34.0,5,2.2,78228.09,1
2.6,196.0,45.1,6,9.4,50227.94,0
1.93,120.0,48.2,18,6.23,18167.08,0
1.2,103.0,39.3,3,7.79,30718.08,0
3.95,377.0,25.8,5,8.02,91297.3,1
4.39,320.0,39.8,13,8.66,58618.6,0
1.08,100.0,33.1,5,9.15,25398.74,0
3.56,232.0,47.7,12,6.72,52689.93,0
2.13,189.0,46.2,15,5.94,32670.69,0
4.23,267.0,43.6,5,2.61,50282.26,0
1.87,132.0,36.0,14,3.52,17526.22,0
4.45,331.0,16.8,17,3.21,68436.16,1
2.93,194.0,40.8,1,9.75,48346.37,0
5.68,383.0,45.2,4,1.63,81062.26,1
1.69,149.0,40.0,0,3.38,30986.76,0
2.71,173.0,33.4,13,9.39,42679.62,0
1.57,153.0,39.8,9,3.42,30491.24,0
5.62,510.0,24.6,10,8.73,121001.96,1
5.39,400.0,15.6,11,3.39,89178.59,1
2.29,195.0,23.5,9,9.16,43398.69,0
4.3,382.0,44.4,3,9.04,89890.95,1
5.09,426.0,45.8,16,7.88,94477.11,1
3.78,320.0,18.0,10,2.87,68879.08,1
3.65,353.0,13.5,15,8.64,73883.11,1
2.21,210.0,13.9,14,9.16,54818.2,0
1.47,142.0,31.8,14,4.31,20569.28,0
5.49,524.0,20.7,2,2.63,117408.66,1
5.5,481.0,27.1,2,2.75,104154.29,1
4.17,332.0,31.8,12,4.47,68791.27,1
2.7,215.0,12.3,6,3.11,52579.6,0
2.75,250.0,41.6,2,9.92,58537.92,0
4.63,449.0,17.2,14,8.48,102045.37,1
5.49,349.0,28.1,17,6.68,85914.41,1
5.44,517.0,44.9,3,2.91,112547.8,1
4.9,461.0,42.9,10,2.16,104051.73,1
4.21,267.0,45.5,19,5.85,52193.83,0
1.42,122.0,38.5,5,8.83,23071.0,0
1.81,179.0,19.4,17,1.14,29852.51,0
5.49,516.0,25.9,3,5.51,125963.99,1
4.03,252.0,14.0,14,3.88,51650.56,0
1.05,102.0,24.9,4,9.81,15042.8,0
1.51,101.0,10.2,1,4.7,30037.5,0
4.32,272.0,31.7,4,2.5,66011.42,1
1.03,71.0,12.1,4,7.64,27112.65,0
1.8,143.0,14.4,3,3.26,34896.31,0
3.74,346.0,33.3,19,4.77,65790.83,1
4.46,315.0,12.6,7,9.73,75001.03,1
4.26,322.0,37.6,19,2.72,55396.25,0
2.12,139.0,37.0,16,5.53,33835.59,0
4.56,327.0,46.6,2,4.72,66470.79,1
2.19,210.0,28.7,13,9.66,54925.57,0
2.63,229.0,49.7,18,9.21,44995.98,0
4.73,411.0,46.9,17,6.22,87087.69,1
4.25,297.0,27.3,13,7.39,76948.1,1
5.25,346.0,22.6,16,5.7,78051.97,1
4.29,410.0,29.5,18,5.93,85919.45,1
3.84,375.0,28.9,10,1.43,70981.13,1
1.47,91.0,16.4,1,1.4,23785.07,0
2.84,231.0,42.1,12,7.8,50278.37,0
2.33,181.0,13.9,5,9.75,46501.68,0
2.22,199.0,14.6,3,6.93,44577.01,0
5.87,423.0,33.1,0,3.54,94641.89,1
2.97,252.0,19.2,13,6.57,55973.35,0
5.46,346.0,45.4,10,5.58,75478.46,1
4.16,387.0,49.9,15,4.83,83713.46,1
4.97,346.0,16.2,17,2.37,75500.49,1
3.51,255.0,47.6,17,3.52,54461.07,0
3.88,292.0,41.5,0,4.63,63458.1,1
3.46,236.0,25.1,6,8.83,65280.42,1
1.98,183.0,31.3,6,8.98,38742.94,0
4.61,289.0,25.7,13,1.24,54848.44,0
2.4,234.0,30.6,6,8.61,55542.7,0
1.12,109.0,30.6,6,1.99,17516.09,0
4.23,394.0,40.4,12,8.61,82725.03,1
1.89,185.0,36.5,2,5.28,37061.77,0
5.7,516.0,13.1,18,1.5,113055.63,1
5.77,476.0,21.9,17,2.38,104303.24,1
5.57,495.0,13.4,8,9.18,112490.37,1
2.85,171.0,27.1,7,3.23,39329.42,0
1.08,94.0,29.3,11,3.21,8242.1,0
5.64,348.0,24.2,12,6.8,82515.14,1
3.14,300.0,17.2,4,4.66,59742.07,0
5.83,559.0,24.7,4,8.66,137502.54,1
5.82,376.0,37.6,17,3.96,77097.75,1
5.27,459.0,14.9,0,4.48,104281.32,1
2.47,214.0,31.0,9,3.74,44244.11,0
2.93,234.0,37.9,11,4.76,53675.99,0
5.26,321.0,18.2,8,8.26,89682.01,1
2.58,167.0,46.9,19,6.23,24414.72,0
1.85,160.0,15.4,8,7.25,42186.08,0
3.78,307.0,16.3,9,4.75,72082.49,1
5.68,351.0,15.0,8,6.15,87058.25,1
4.48,362.0,42.0,3,6.37,78242.4,1
3.85,362.0,13.8,15,3.97,79434.39,1
1.49,142.0,30.2,17,4.6,14893.02,0
4.08,359.0,45.5,16,5.66,65975.96,1
5.95,515.0,32.8,7,8.66,126832.91,1
1.7,154.0,24.5,14,3.66,29658.82,0
3.59,235.0,28.1,14,7.61,58156.93,0
5.39,364.0,11.0,7,8.01,88130.88,1
4.7,373.0,30.0,7,2.73,79203.93,1
4.49,350.0,46.0,4,6.71,80843.37,1
4.51,304.0,45.0,4,6.31,67094.87,1
2.8,244.0,12.8,1,8.44,70224.43,1
2.47,221.0,29.6,5,2.17,47905.32,0
5.05,358.0,14.0,12,1.69,80530.32,1
5.05,366.0,33.5,0,8.45,93521.58,1
5.34,375.0,28.2,6,8.73,97844.31,1
5.57,396.0,37.0,2,9.56,93770.02,1
3.56,266.0,30.2,10,9.92,70466.02,1
3.51,273.0,27.6,16,8.38,66642.32,1
4.99,396.0,24.2,10,8.09,90619.77,1
4.25,337.0,12.6,1,6.75,90480.8,1
4.51,382.0,37.6,8,5.34,81412.51,1
4.98,367.0,17.0,9,9.52,85996.19,1
5.45,437.0,42.7,15,9.78,95486.24,1
2.69,216.0,22.9,13,5.41,38159.64,0
2.88,184.0,37.3,7,6.02,38452.44,0
1.47,125.0,49.2,14,7.18,23878.62,0
3.89,277.0,28.0,17,5.74,50673.66,0
1.18,73.0,40.9,17,2.85,5000.0,0
3.33,286.0,41.7,11,3.76,67854.96,1
3.71,230.0,11.3,5,8.5,58720.71,0
2.43,189.0,31.5,12,3.38,37183.38,0
3.95,335.0,23.0,5,6.86,73167.35,1
1.15,115.0,27.9,13,3.25,19711.34,0
1.19,96.0,22.0,17,2.01,11712.39,0
5.11,372.0,31.7,14,4.83,81286.38,1
2.8,223.0,46.1,12,8.27,51448.19,0
1.64,111.0,12.0,11,4.6,24398.21,0
3.61,280.0,18.6,19,7.16,60397.28,1
4.85,460.0,45.7,16,3.59,98424.33,1
2.08,136.0,12.9,18,8.3,36303.12,0
4.11,334.0,24.7,5,2.43,73963.01,1
1.43,121.0,20.1,6,9.56,30810.74,0
1.26,91.0,17.0,9,8.11,19236.56,0
3.66,327.0,20.9,7,3.77,83981.0,1
3.7,320.0,33.3,0,9.3,75502.13,1
4.19,329.0,48.7,4,7.15,77156.39,1
4.63,396.0,26.6,7,4.41,89629.86,1
5.88,550.0,27.9,19,1.93,108619.08,1
3.58,301.0,26.0,8,3.87,70235.77,1
2.61,216.0,48.2,14,9.9,42245.9,0
4.98,423.0,15.2,1,4.72,96927.34,1
2.35,205.0,22.2,1,3.97,46781.55,0
3.19,243.0,11.2,4,5.33,57469.7,0
1.39,130.0,23.8,9,7.69,27136.65,0
1.13,110.0,21.1,12,9.69,33734.64,0
5.81,493.0,19.7,11,6.83,108911.17,1
5.18,495.0,18.9,7,5.95,104885.16,1
4.48,402.0,23.3,19,8.01,90986.31,1
3.04,234.0,20.1,19,6.19,49195.3,0
1.87,149.0,12.5,7,7.38,30314.3,0
1.78,147.0,20.5,17,1.99,28457.8,0
2.25,220.0,49.1,19,9.55,48083.91,0
3.75,322.0,47.8,3,7.36,70180.61,1
4.57,367.0,38.6,18,7.12,68430.53,1
4.3,279.0,17.7,4,7.53,64605.79,1
2.4,208.0,33.0,2,3.57,40755.74,0
5.77,474.0,43.6,13,6.64,100052.42,1
4.69,458.0,14.4,13,7.44,105847.03,1
3.77,278.0,31.2,4,3.99,60667.32,1
4.06,373.0,22.3,19,8.95,80517.58,1
3.1,221.0,26.0,10,9.97,53588.62,0
2.24,150.0,31.7,13,6.56,28251.48,0
2.78,168.0,29.2,6,8.77,39093.16,0
4.79,459.0,46.8,5,2.38,96159.17,1
1.07,83.0,31.3,14,4.01,21591.69,0
1.58,113.0,37.2,17,2.9,9651.96,0
1.23,94.0,32.3,9,3.21,16589.51,0
1.2,106.0,26.2,15,9.94,20491.73,0
5.28,400.0,18.2,7,3.62,84131.09,1
4.52,312.0,13.2,2,7.14,84637.66,1
3.37,214.0,37.1,2,1.44,47672.69,0
1.49,126.0,14.1,2,5.63,27399.84,0
3.46,342.0,13.3,14,5.77,69254.05,1
3.37,288.0,46.6,5,7.06,64049.24,1
1.87,183.0,48.8,10,4.82,35378.32,0
3.17,302.0,34.1,14,2.36,60851.07,1
2.99,198.0,11.3,4,9.45,51084.62,0
4.08,388.0,40.5,16,7.87,83997.01,1
4.18,251.0,30.6,3,6.41,58493.16,0
1.23,99.0,41.0,12,8.91,27546.71,0
2.87,232.0,26.5,0,7.33,63959.51,1
4.13,368.0,39.8,6,9.53,90659.81,1
3.52,318.0,41.8,13,1.9,63198.2,1
5.28,366.0,31.9,3,8.79,78837.92,1
4.29,409.0,48.8,18,3.97,77382.2,1
1.81,122.0,22.3,3,6.44,25849.94,0
1.35,133.0,47.8,13,9.5,25441.23,0
4.21,418.0,11.8,1,8.46,100577.79,1
1.13,99.0,42.2,1,6.83,18009.87,0
3.93,338.0,32.4,0,6.82,84299.86,1
5.7,565.0,23.7,18,7.87,119577.72,1
3.88,270.0,13.0,7,9.02,65511.96,1
2.94,252.0,37.6,3,4.09,46457.41,0
4.22,322.0,37.0,11,6.6,76616.86,1
3.29,219.0,39.0,13,8.8,41078.94,0
3.73,243.0,39.7,9,2.44,51093.59,0
5.71,503.0,14.8,16,3.27,109662.87,1
2.93,203.0,44.4,4,4.15,47396.7,0
5.81,488.0,15.9,9,2.63,109829.19,1
5.53,384.0,32.6,3,5.77,93443.57,1
1.98,155.0,41.9,3,9.69,33717.08,0
1.35,121.0,50.0,10,4.14,21634.7,0
1.5,122.0,17.7,9,7.52,22928.17,0
1.09,103.0,21.6,8,8.5,22801.58,0
1.47,119.0,21.8,10,2.41,19079.18,0
4.42,300.0,38.4,6,8.18,68672.69,1
1.36,130.0,30.4,9,6.25,26211.22,0
2.59,199.0,25.8,15,5.15,42458.46,0
5.22,494.0,47.9,0,7.25,117406.1,1
1.12,78.0,33.0,16,8.92,5575.88,0
5.07,433.0,43.4,6,1.19,92578.25,1
2.41,161.0,48.6,0,4.56,39009.56,0
1.59,100.0,30.2,10,9.25,25729.34,0
4.48,448.0,46.1,15,6.24,94221.59,1
4.14,250.0,42.0,3,2.91,60191.13,1
5.39,451.0,49.9,0,4.78,100926.34,1
4.68,283.0,28.0,7,8.95,74740.06,1
5.02,412.0,10.9,19,7.34,99422.35,1
2.41,154.0,14.4,14,8.97,43514.24,0
1.89,173.0,40.0,14,1.61,24420.29,0
4.75,341.0,42.5,0,6.22,84664.05,1
5.03,371.0,24.4,9,3.74,85838.75,1
5.95,417.0,14.6,18,1.38,95798.92,1
3.06,198.0,38.4,7,1.59,28439.7,0
2.86,229.0,35.4,12,8.32,53055.71,0
4.88,380.0,12.2,6,8.28,86795.58,1
2.7,220.0,31.9,12,6.39,45437.11,0
5.65,480.0,19.9,17,8.44,107496.98,1
5.29,336.0,14.6,1,8.1,88225.99,1
3.14,240.0,17.3,7,3.81,53516.7,0
4.75,398.0,18.4,9,2.53,86974.89,1
4.77,348.0,16.4,4,4.12,83919.14,1
1.52,103.0,17.3,9,4.68,18253.35,0
5.51,464.0,31.5,10,7.48,105971.01,1
3.53,313.0,11.8,17,3.26,66655.66,1
5.13,462.0,21.9,11,8.11,107923.18,1
2.6,190.0,14.4,2,3.96,45778.76,0
5.48,350.0,34.9,15,2.4,78422.77,1
2.95,285.0,47.9,9,1.97,54216.19,0
1.05,92.0,11.8,7,7.96,19231.08,0
5.53,542.0,45.8,13,8.58,117440.65,1
1.46,96.0,40.6,8,7.8,22192.44,0
2.6,224.0,31.8,11,2.85,43970.96,0
5.75,390.0,48.0,3,5.56,101394.51,1
5.75,544.0,18.8,18,4.61,111944.31,1
3.87,313.0,11.8,9,4.9,73888.96,1
4.16,338.0,41.3,3,7.22,78468.54,1
3.24,315.0,14.9,12,5.56,70805.2,1
2.47,178.0,43.3,4,8.56,40193.33,0
2.64,224.0,46.7,7,8.24,47435.12,0
4.36,287.0,19.9,16,3.97,66496.93,1
4.76,355.0,44.5,2,9.52,89118.39,1
4.96,336.0,31.3,3,9.71,80514.77,1
4.95,337.0,23.9,17,3.52,72799.73,1
1.46,126.0,21.2,5,1.81,25566.94,0
3.47,248.0,41.4,12,5.27,47031.13,0
1.29,90.0,36.5,17,6.71,5000.0,0
3.75,346.0,43.7,12,4.81,75882.4,1
3.21,253.0,34.5,4,8.91,66206.32,1
5.44,409.0,24.3,3,4.94,100130.28,1
2.75,255.0,24.4,5,2.87,51548.08,0
1.59,126.0,46.5,14,8.0,35050.64,0
1.71,158.0,36.7,1,5.85,30671.34,0
4.81,350.0,43.7,13,1.2,68431.59,1
4.09,403.0,40.5,12,8.59,87091.68,1
1.51,146.0,18.1,0,6.72,28015.76,0
1.42,132.0,28.2,7,2.95,20366.17,0
4.5,308.0,13.4,0,6.08,82744.72,1
1.36,121.0,43.5,2,8.26,22509.7,0
5.11,474.0,32.4,0,4.07,109647.63,1
4.53,338.0,46.5,11,4.86,73711.1,1
1.41,93.0,16.7,12,8.79,19910.72,0
1.42,101.0,46.9,3,9.04,29308.74,0
5.93,495.0,45.5,6,7.45,116653.7,1
2.87,201.0,16.4,1,5.94,52368.95,0
2.85,246.0,40.5,3,7.82,49588.99,0
5.06,383.0,28.8,5,3.33,77227.51,1
5.74,396.0,20.6,4,9.52,96233.14,1
5.93,501.0,46.9,2,4.02,115133.33,1
4.77,300.0,41.8,2,4.44,63930.76,1
2.88,245.0,16.6,17,9.26,45234.18,0
1.42,141.0,48.0,9,4.05,30768.98,0
4.89,433.0,31.1,1,4.02,94327.85,1
3.79,277.0,31.9,5,1.28,54735.94,0
3.12,300.0,36.8,18,3.82,60549.72,1
5.53,449.0,26.8,15,4.81,97830.45,1
1.56,127.0,24.8,2,5.07,26575.29,0
3.46,260.0,40.4,14,6.41,54217.27,0
1.06,66.0,29.6,9,6.49,8288.0,0
3.34,236.0,33.1,15,6.52,51039.67,0
1.28,119.0,24.3,16,2.71,21892.48,0
1.59,112.0,33.7,0,7.97,22250.53,0
1.59,122.0,36.4,7,9.59,17986.36,0
4.25,363.0,20.0,18,7.69,75460.72,1
4.73,337.0,46.9,12,8.61,75019.14,1
3.92,362.0,30.4,11,8.96,85764.92,1
5.81,557.0,24.8,12,4.59,120827.34,1
2.87,179.0,37.9,2,9.78,44993.33,0
2.43,202.0,47.6,12,7.06,45461.22,0
5.34,395.0,31.8,2,8.87,104963.95,1
2.12,174.0,23.2,0,3.54,34944.55,0
5.82,477.0,36.5,16,5.03,109881.72,1
1.06,64.0,46.9,3,7.8,9038.59,0
5.85,503.0,17.2,17,6.19,111946.76,1
1.22,84.0,31.4,15,5.04,19632.64,0
5.46,450.0,18.9,18,8.21,103521.53,1
3.64,349.0,31.3,8,8.42,83191.47,1
5.96,403.0,41.1,0,1.38,92659.22,1
1.37,97.0,42.1,12,3.92,21129.41,0
3.77,236.0,11.4,15,3.47,57177.94,0
5.85,466.0,22.0,13,7.21,110305.36,1
3.62,343.0,18.2,18,8.18,86970.9,1
4.15,339.0,21.6,11,2.82,75725.79,1
4.48,332.0,28.5,6,4.75,71154.48,1
3.27,315.0,12.8,15,2.12,64964.72,1
4.14,337.0,29.6,6,8.12,74302.77,1
3.92,388.0,39.3,17,8.49,88994.21,1
5.51,496.0,29.9,9,2.51,104061.38,1
1.23,119.0,36.0,1,6.87,25353.61,0
2.4,206.0,41.1,17,5.78,36970.0,0
5.75,573.0,47.3,2,3.78,122271.67,1
5.45,442.0,43.7,16,3.18,87114.18,1
3.28,281.0,44.0,14,4.64,61436.08,1
4.1,268.0,22.5,11,7.02,60728.58,1
2.39,233.0,24.3,0,5.89,57272.09,0
1.94,142.0,21.5,10,6.81,38665.2,0
3.32,288.0,44.2,4,6.81,57577.5,0
2.77,206.0,25.4,4,1.4,46037.3,0
3.92,374.0,10.3,15,7.64,86298.4,1
1.39,90.0,13.7,4,1.74,25975.94,0
5.87,564.0,15.1,5,8.82,137257.38,1
5.93,504.0,12.3,9,4.53,112203.25,1
4.49,441.0,33.5,2,3.63,86956.97,1
3.68,295.0,13.2,11,6.91,67433.02,1
2.55,203.0,36.1,10,7.81,38642.92,0
5.07,377.0,20.0,2,1.77,83589.9,1
4.42,323.0,41.1,4,1.07,68104.34,1
1.81,118.0,34.7,3,1.02,23256.46,0
5.55,406.0,46.0,15,7.85,92231.02,1
5.11,431.0,28.6,16,5.96,89679.77,1
5.75,364.0,25.7,16,2.5,77554.06,1
4.63,312.0,23.1,1,5.32,82971.29,1
4.07,384.0,17.3,19,5.31,95109.34,1
3.09,197.0,23.3,16,8.21,45647.31,0
5.66,394.0,10.3,0,2.34,94726.56,1
5.33,321.0,46.5,8,2.06,71732.05,1
1.23,109.0,48.9,2,3.73,19706.14,0
1.13,106.0,46.1,13,3.16,10979.9,0
2.88,274.0,12.8,8,6.62,59183.66,0
5.05,485.0,15.7,8,9.87,122397.17,1
5.94,452.0,43.1,14,3.69,101590.59,1
1.75,144.0,29.9,1,5.03,40255.13,0
3.97,346.0,12.4,6,6.1,82432.69,1
2.9,280.0,23.0,2,2.08,60153.4,0
5.85,537.0,24.6,14,6.39,122610.86,1
5.21,415.0,35.7,5,3.84,90736.49,1
5.19,417.0,12.6,2,9.67,101760.57,1
3.34,245.0,46.1,4,9.73,67150.69,1
3.07,186.0,13.5,13,5.67,39776.54,0
2.37,156.0,25.2,5,3.08,31112.62,0
1.28,94.0,11.5,5,3.26,24514.95,0
5.32,448.0,33.8,12,4.86,92064.86,1
5.06,448.0,45.9,17,6.27,90467.09,1
6.0,574.0,45.0,14,7.82,128714.72,1
5.98,491.0,28.3,17,5.2,108243.39,1
3.78,286.0,18.6,2,5.55,80023.85,1
4.84,424.0,18.2,17,4.54,91948.64,1
5.72,433.0,15.5,7,6.49,97710.19,1
5.25,338.0,32.2,0,1.35,71321.78,1
2.24,135.0,18.1,11,6.78,35316.32,0
3.25,287.0,28.7,8,2.96,54032.16,0
1.65,158.0,48.9,12,1.54,26903.36,0
5.77,503.0,15.3,16,1.59,107004.4,1
4.03,246.0,23.4,0,3.55,59546.45,0
2.14,147.0,41.0,6,8.63,36130.95,0
4.36,427.0,25.8,7,1.41,92779.21,1
4.09,362.0,32.6,0,2.1,79227.65,1
2.79,250.0,11.3,10,4.92,54606.17,0
1.57,145.0,14.1,6,6.74,27659.83,0
4.36,421.0,31.8,14,1.14,80906.05,1
3.6,279.0,12.6,8,4.43,60254.78,1
4.86,375.0,44.7,7,5.9,84074.32,1
3.6,219.0,43.8,1,9.61,55127.17,0
5.26,513.0,10.1,19,1.92,114362.43,1
3.76,245.0,12.6,7,6.02,50006.76,0
3.8,297.0,41.4,19,1.33,58008.49,0
5.38,452.0,37.9,5,8.85,106347.62,1
3.02,301.0,13.4,4,2.95,70748.42,1
1.67,127.0,18.3,19,9.42,36418.31,0
