area_sqft,bedrooms,bathrooms,age,distance_to_city,price,luxury
3481.4,3,3,13,22.5,334266.7,1
1902.7,4,2,43,19.2,173788.72,0
2840.3,1,1,38,33.9,131888.64,0
2960.2,4,2,47,35.2,217169.01,1
1331.8,2,2,47,22.7,96039.72,0
4863.1,4,2,46,34.4,215994.42,1
3988.1,4,1,0,12.3,290691.61,1
4727.7,4,1,43,5.1,175785.75,0
4526.7,5,1,10,21.3,295885.08,1
3190.5,1,1,19,19.0,108268.62,0
4648.4,3,1,47,21.1,299453.69,1
898.2,4,3,33,2.9,110149.91,0
1381.9,2,3,11,3.7,161711.23,0
703.5,1,1,28,5.0,47393.75,0
1964.0,1,1,14,18.4,43362.1,0
2249.0,4,3,31,31.8,199602.75,1
1721.1,1,1,30,6.2,90562.74,0
4229.3,1,3,39,16.7,243090.09,1
2105.4,1,1,11,13.0,125132.5,0
1764.2,1,2,45,15.4,107961.09,0
2942.1,2,2,6,1.4,244475.85,1
1134.2,2,2,3,22.8,173223.75,0
4109.9,2,2,47,24.3,149953.05,0
835.5,3,2,49,9.7,87421.58,0
4941.0,2,2,30,8.3,292315.75,1
3975.1,3,3,34,13.4,300568.25,1
1394.2,4,1,26,37.0,201915.3,1
524.8,1,3,20,2.9,31885.75,0
4169.6,2,3,22,11.6,287520.2,1
3680.9,4,1,15,5.5,253655.33,1
3780.5,1,3,18,34.3,208268.94,1
3970.7,4,2,26,33.2,143792.78,0
833.2,5,3,26,8.5,175605.59,0
2113.1,1,1,19,1.1,202157.21,1
1021.4,1,3,25,25.2,85542.61,0
4384.0,3,2,45,6.0,271056.04,1
3304.8,1,1,48,27.3,118090.66,0
1989.0,4,2,39,2.9,119125.81,0
786.0,5,3,13,8.6,248746.04,1
1899.4,5,2,24,26.1,106914.74,0
1963.3,2,1,12,27.5,67268.74,0
3783.2,2,1,43,5.2,279241.48,1
3369.0,4,3,15,15.9,375631.11,1
4492.5,2,2,0,10.8,290346.59,1
2625.0,5,3,1,25.8,282893.6,1
1038.2,5,2,18,3.6,173583.39,0
3709.6,3,2,45,28.5,288349.9,1
3923.5,1,1,30,14.9,233378.47,1
3025.7,1,1,46,9.3,125745.7,0
3969.4,2,3,27,25.6,281434.55,1
2722.1,4,1,13,23.9,110321.97,0
2852.3,1,1,28,4.8,208423.75,1
2423.9,1,1,29,28.9,30000.0,0
614.4,5,2,49,35.0,30000.0,0
985.5,2,1,39,10.8,153095.02,0
641.4,4,1,10,7.7,155805.5,0
3363.8,3,1,27,7.4,329441.65,1
1914.6,4,3,29,16.7,181250.28,0
2788.6,2,3,5,8.8,267473.29,1
4584.0,4,2,32,17.6,209529.51,1
1621.8,1,2,17,31.7,131889.01,0
2346.7,4,1,15,34.1,45500.07,0
3900.0,2,2,39,17.3,188796.2,1
1529.6,4,3,40,17.8,161159.1,0
846.4,2,3,1,28.1,117315.26,0
1803.9,1,1,0,3.3,128442.21,0
1225.5,5,2,19,13.6,238022.95,1
4683.6,4,3,36,30.8,309407.11,1
4136.5,1,3,24,23.6,244798.71,1
3350.3,5,2,43,14.7,242406.69,1
4421.6,1,2,44,30.0,178762.84,0
4116.5,5,3,38,23.0,306655.58,1
1339.6,5,3,40,28.9,105363.89,0
4516.5,3,1,29,17.4,101573.24,0
2927.0,5,1,39,32.2,260186.72,1
4133.5,5,3,40,28.5,218565.68,1
4532.4,1,1,46,18.7,137698.18,0
1931.0,2,2,18,29.3,153491.33,0
995.2,5,1,18,30.1,119228.8,0
1525.7,5,2,23,12.0,191935.69,1
2422.0,2,3,45,14.6,171572.84,0
4181.1,5,1,26,2.7,248490.78,1
4373.3,4,1,21,10.4,317218.19,1
531.3,4,2,7,37.1,59361.36,0
2798.4,1,2,11,32.3,86187.48,0
2378.3,3,1,45,2.1,229823.89,1
1499.5,4,2,24,9.6,56377.9,0
1039.4,4,3,46,21.0,167512.74,0
2019.3,5,3,26,17.9,218781.75,1
4743.1,5,2,17,31.8,292118.31,1
1954.4,4,1,48,20.0,148097.01,0
2834.6,4,2,47,18.3,196092.15,1
3663.6,5,1,36,9.7,262059.19,1
2136.3,2,3,36,12.8,222277.37,1
4873.0,4,2,16,9.5,354443.59,1
4831.0,3,3,15,38.6,250718.44,1
1633.0,2,2,28,31.5,135162.35,0
2737.6,3,2,15,9.9,256274.83,1
1854.0,3,2,17,11.2,288118.08,1
1781.8,1,3,17,24.1,58352.87,0
666.0,5,2,19,15.6,101855.09,0
3243.0,3,1,47,11.7,218053.54,1
2762.1,4,3,12,5.8,337330.85,1
731.7,4,1,30,2.0,128146.87,0
1753.9,2,3,48,3.1,168768.54,0
4587.2,4,2,1,33.2,344404.66,1
1578.0,4,3,34,4.3,183783.18,0
1152.0,1,2,23,1.5,84981.04,0
2702.5,3,1,7,20.8,157235.25,0
4935.4,5,3,25,18.2,308408.16,1
1589.2,2,1,43,22.1,99126.06,0
3524.6,1,2,47,32.5,144677.15,0
3927.3,3,2,0,5.7,223554.21,1
1569.4,3,3,8,31.0,54844.62,0
3777.0,4,2,8,8.8,286536.97,1
2155.0,4,3,5,9.3,30000.0,0
3345.4,2,3,28,8.7,184400.32,0
3350.9,5,1,31,16.1,285044.85,1
2911.0,4,3,43,22.8,253418.86,1
906.3,5,3,23,9.5,131656.27,0
4258.9,4,1,49,22.7,277763.34,1
1943.5,5,3,29,6.6,247335.08,1
1339.3,4,2,22,5.2,174911.21,0
683.5,4,3,19,36.8,133559.18,0
3159.0,4,2,13,3.8,354724.59,1
3549.0,4,3,22,35.4,228306.59,1
574.6,5,2,24,13.2,30000.0,0
2804.4,1,3,43,17.2,205336.95,1
1519.2,2,2,4,14.2,202621.63,1
3403.3,1,3,33,2.4,233586.66,1
1284.6,5,2,0,38.0,196950.59,1
3609.2,2,2,30,33.7,190244.06,1
2240.3,4,3,19,18.0,145231.82,0
4715.3,1,1,44,13.5,165740.33,0
1118.8,2,2,44,23.3,121690.8,0
2034.8,1,2,2,8.2,61352.86,0
1010.6,5,1,32,36.8,86511.51,0
4661.1,2,3,22,24.8,214807.69,1
4448.0,4,2,39,3.6,352046.34,1
1660.7,3,3,41,30.8,151625.11,0
3469.9,4,2,39,9.9,179002.26,0
4177.5,3,1,47,14.8,251153.11,1
2998.4,4,3,41,20.5,222033.97,1
2883.4,5,1,48,10.5,165426.86,0
1588.3,2,1,11,22.4,80453.86,0
919.0,1,1,20,22.4,66546.99,0
4537.5,4,2,29,30.7,237884.54,1
4551.9,3,1,40,1.9,256424.74,1
3349.0,2,1,11,9.2,135362.81,0
2025.6,1,1,31,2.8,234297.37,1
2071.4,3,2,20,25.6,101663.68,0
3766.8,3,3,32,35.3,134719.41,0
4537.0,2,3,28,23.5,314317.68,1
4491.9,5,1,28,21.6,300153.77,1
4009.4,5,3,4,39.4,322171.48,1
3389.1,5,2,15,29.0,169679.64,0
878.6,2,3,3,37.3,167466.46,0
1227.3,3,2,5,23.8,191022.17,1
4543.5,2,2,22,38.7,278743.4,1
3228.9,5,3,46,31.1,144301.6,0
541.4,4,3,6,25.6,80358.27,0
956.6,2,1,20,4.8,134776.99,0
3485.8,4,3,29,9.5,243028.47,1
522.8,5,1,38,30.1,98820.29,0
1223.6,2,1,11,7.3,90238.36,0
2969.3,2,2,37,8.3,149541.26,0
3613.5,4,3,33,4.6,309538.97,1
3433.8,1,3,16,12.0,188730.28,1
1509.2,4,3,24,8.2,297962.93,1
3704.8,5,1,49,9.1,97430.45,0
1567.6,4,3,48,15.2,135806.97,0
1964.3,1,2,42,14.6,30000.0,0
3859.2,5,2,28,28.9,289510.88,1
3423.3,2,2,27,31.0,205131.87,1
4321.5,2,1,22,38.5,158851.67,0
3459.3,1,3,31,16.7,174531.27,0
3057.4,5,2,33,22.4,176096.09,0
921.5,5,1,12,20.2,115841.46,0
2154.7,2,2,3,7.9,296462.35,1
1693.4,4,3,40,16.3,130634.45,0
1598.0,4,2,1,27.2,147894.24,0
4878.5,5,2,26,37.7,316842.7,1
2268.9,1,3,21,31.0,89582.22,0
4514.2,1,3,27,7.3,294271.99,1
3340.1,2,3,4,19.5,285577.53,1
4076.7,3,2,30,8.8,285782.7,1
2761.9,1,2,39,11.9,194953.3,1
3096.1,3,1,45,37.0,145625.68,0
2716.3,4,2,38,33.3,190969.19,1
1378.6,2,3,29,24.0,162091.46,0
3751.0,4,1,22,37.1,213751.88,1
1763.5,1,2,13,4.4,121615.54,0
609.4,4,1,35,34.2,61353.9,0
3404.6,5,1,0,17.5,270012.53,1
1297.0,4,1,14,23.5,50480.73,0
4732.1,3,1,25,5.5,370849.13,1
4792.7,3,2,20,10.4,309112.53,1
4616.9,4,1,35,18.2,394870.26,1
2165.7,1,2,35,19.7,103256.68,0
569.6,3,2,23,16.5,114649.97,0
4677.4,2,1,45,11.7,129827.42,0
2426.8,5,1,38,15.7,103871.97,0
4849.9,1,3,20,16.1,309862.0,1
4836.3,2,2,42,28.5,245011.5,1
4338.5,1,3,41,32.3,197048.99,1
1825.0,3,2,34,12.6,207530.06,1
2232.9,1,2,27,18.3,91103.9,0
4330.1,2,2,11,5.0,311200.67,1
1926.1,1,3,22,30.8,123720.17,0
1262.7,3,1,17,2.5,99618.46,0
3005.6,4,3,5,9.1,289903.7,1
4712.7,2,2,2,15.2,355781.16,1
3632.1,4,3,44,20.8,287634.4,1
3065.3,3,1,49,36.1,190707.79,1
937.3,2,2,20,3.9,83555.57,0
3267.5,4,1,9,31.6,268394.63,1
4955.2,2,2,23,1.3,312381.16,1
1130.4,5,3,42,38.2,86611.36,0
2832.5,4,1,9,13.1,234267.32,1
4448.2,4,3,10,12.5,297077.47,1
3833.5,5,2,31,19.0,332491.08,1
3636.6,3,1,33,16.4,218623.42,1
3661.2,5,1,15,17.5,187475.56,0
2117.7,2,2,24,11.0,151790.11,0
1821.2,2,2,37,15.8,83098.6,0
4142.1,2,1,37,27.5,179757.6,0
4145.5,3,2,45,23.9,300708.7,1
4401.8,5,2,7,3.6,317076.95,1
4609.6,1,1,31,22.5,242167.17,1
2801.0,4,1,42,22.9,190716.83,1
2756.8,5,2,32,8.7,218685.01,1
4092.3,2,1,30,6.2,284176.36,1
3424.8,5,2,44,1.7,282176.02,1
3658.9,5,2,31,2.8,255232.86,1
4081.1,3,1,13,28.2,278027.79,1
4505.0,4,2,18,25.2,333126.63,1
2021.0,3,3,2,2.0,160665.78,0
2190.1,3,3,1,12.9,209829.82,1
922.9,2,2,6,11.8,30000.0,0
3102.3,3,1,24,17.9,230132.39,1
661.7,4,1,48,21.5,65222.7,0
2595.2,2,2,6,36.0,151909.45,0
2941.9,3,3,23,7.9,261716.12,1
1789.4,2,2,35,38.3,44903.24,0
3158.7,5,2,11,30.3,303841.46,1
637.3,4,1,8,10.4,126240.84,0
668.1,1,2,2,23.4,30000.0,0
4201.7,1,3,35,15.4,170175.43,0
2120.9,1,3,17,15.0,175486.75,0
1071.8,5,2,49,27.1,156995.84,0
2850.1,3,3,27,5.8,255145.97,1
3965.0,5,3,33,15.3,270411.83,1
1471.2,1,2,5,38.8,50908.62,0
3303.0,3,2,7,17.2,243339.17,1
884.1,5,3,4,3.8,223079.96,1
732.6,3,1,23,5.0,30000.0,0
2891.1,1,3,41,3.4,120464.23,0
2932.9,4,3,25,25.0,335423.06,1
3368.4,1,1,46,9.6,262669.88,1
3767.4,1,1,18,6.3,214869.81,1
4891.3,2,2,20,34.5,296478.21,1
2823.4,3,1,13,2.5,133110.45,0
1953.3,2,2,11,24.2,187075.74,0
4078.3,5,1,16,38.1,233740.11,1
1718.7,5,2,30,7.2,209494.47,1
2475.4,1,3,35,21.6,168126.5,0
853.1,2,1,41,18.2,30000.0,0
614.1,2,1,45,26.7,30000.0,0
4831.9,4,2,46,29.0,291720.89,1
4261.9,4,3,29,9.3,274077.42,1
3631.9,1,2,30,39.8,217767.37,1
2340.3,5,1,44,37.2,68195.26,0
1279.8,4,3,10,9.9,122793.65,0
1204.0,2,2,21,2.1,116480.63,0
1626.1,2,1,35,31.0,66889.24,0
2971.5,1,1,23,2.1,191441.15,1
3715.7,3,1,41,21.3,250652.36,1
3470.9,3,2,19,2.0,168287.37,0
1759.7,5,2,24,32.7,220956.34,1
4796.9,1,3,34,4.1,284117.14,1
3820.5,4,2,14,32.3,230195.68,1
2994.6,5,1,11,16.4,270667.46,1
3252.7,4,3,10,25.6,238903.16,1
2388.2,1,3,42,26.3,170067.22,0
1614.8,5,3,40,35.1,150043.39,0
2101.9,5,2,40,21.1,132002.44,0
3910.3,4,2,5,14.7,136696.21,0
564.8,3,2,1,15.2,123415.78,0
1022.3,3,2,1,2.7,131203.95,0
707.0,4,2,13,10.9,53566.68,0
683.3,2,1,15,3.6,44383.92,0
4349.6,2,2,24,1.9,377458.21,1
3666.5,5,3,17,25.6,233393.49,1
2633.8,4,3,7,1.8,339458.21,1
940.3,3,2,34,11.9,62114.49,0
2712.3,1,3,6,16.9,197547.75,1
2630.6,2,2,11,24.4,188060.47,1
1279.4,1,2,12,27.2,30000.0,0
2452.3,3,1,38,37.8,131482.88,0
2293.3,4,3,42,30.4,187202.17,0
3271.3,2,1,38,9.6,227695.93,1
3357.9,5,3,35,30.4,181196.25,0
703.9,1,1,30,36.4,30000.0,0
2185.8,2,3,29,6.0,95170.21,0
3316.4,3,1,11,6.2,167432.99,0
2764.1,2,2,40,16.8,117633.69,0
4354.2,2,3,35,34.0,253479.56,1
3464.1,4,3,15,23.1,334425.44,1
1233.2,4,3,7,15.0,149445.99,0
817.6,5,2,19,29.1,68136.68,0
3390.9,4,1,17,31.9,299122.07,1
619.3,3,1,48,19.8,59132.06,0
3136.0,5,3,35,13.8,341856.42,1
4731.0,1,1,39,28.7,195047.89,1
3089.6,5,3,15,39.2,240632.36,1
2246.8,4,1,17,31.6,150628.71,0
3394.8,5,1,32,25.6,230619.92,1
2562.1,5,1,12,1.9,244373.77,1
2955.3,2,1,22,35.2,177550.31,0
4736.6,2,1,26,6.1,250285.41,1
2237.5,2,2,43,33.0,118226.89,0
4825.4,5,2,41,7.7,337363.72,1
4574.1,4,2,15,13.0,314846.64,1
1381.1,3,3,8,29.1,180651.33,0
812.1,3,3,21,2.5,232140.11,1
953.5,1,2,32,20.0,76510.24,0
582.0,3,1,10,26.0,58206.27,0
925.0,4,1,46,34.0,30000.0,0
3573.5,3,3,36,3.5,325479.21,1
820.3,5,1,28,36.9,88377.45,0
1935.4,5,1,44,12.9,160133.85,0
4301.9,2,1,22,1.5,276237.94,1
604.7,1,1,9,5.8,49585.04,0
4165.1,3,3,44,2.8,215347.97,1
1768.3,5,1,15,7.0,162246.29,0
1031.7,3,3,13,19.3,171178.34,0
3635.3,2,1,26,23.0,140703.73,0
3330.2,1,1,5,27.3,219681.87,1
4448.6,2,3,11,36.0,288198.8,1
3807.8,3,2,4,5.7,307757.84,1
4115.7,3,1,45,18.9,202547.08,1
1769.2,2,1,28,7.2,99904.94,0
1298.5,4,1,47,30.9,110142.88,0
3877.8,2,1,43,10.4,169340.99,0
4130.8,5,3,20,34.1,294812.61,1
4957.3,4,2,32,31.6,304025.17,1
2356.8,4,1,16,14.3,173458.71,0
2174.1,3,2,13,6.3,190170.79,1
3993.9,2,1,15,31.3,151187.86,0
2033.6,2,2,28,24.0,67850.94,0
4688.4,5,3,46,2.2,253074.04,1
4362.9,3,3,35,28.7,256919.0,1
2430.5,5,1,22,39.7,227733.78,1
3878.9,4,2,43,16.2,300166.75,1
3895.4,3,1,44,27.6,206493.54,1
964.1,3,3,40,22.0,97804.19,0
4561.5,3,3,37,13.2,261899.59,1
2773.6,2,3,29,13.2,99968.04,0
4219.1,3,3,33,22.0,233339.91,1
1940.2,5,3,36,8.3,253566.87,1
4529.9,5,2,38,6.7,384043.04,1
2251.4,5,3,42,8.9,209946.41,1
548.8,4,2,30,28.0,30000.0,0
4574.2,4,3,26,12.2,371346.61,1
910.8,4,2,42,5.8,180045.75,0
1936.9,2,2,15,21.7,215781.66,1
4775.3,3,2,13,30.3,277096.64,1
4777.7,2,2,17,36.4,303685.47,1
3080.5,4,1,43,21.3,201135.09,1
3343.3,2,1,28,3.0,220393.24,1
2518.0,3,2,33,2.9,149930.88,0
1819.4,5,1,32,24.5,200664.86,1
1979.0,5,1,33,2.2,214437.92,1
3526.3,4,1,39,14.4,308321.04,1
3885.7,2,2,4,19.1,220476.4,1
4062.1,5,3,29,4.6,450820.16,1
4053.3,2,3,37,13.5,234632.49,1
910.4,5,3,27,38.7,175681.82,0
2724.9,2,3,14,22.0,207671.35,1
759.0,5,1,6,9.0,66472.97,0
2972.9,2,1,7,30.3,181672.89,0
2486.9,1,3,33,10.2,48200.6,0
4494.7,3,2,42,16.0,216833.58,1
2079.1,2,1,16,37.6,133949.09,0
1026.8,2,3,9,23.0,224014.8,1
1143.5,4,1,25,13.7,39116.97,0
3926.8,2,1,0,19.2,215592.57,1
3282.0,2,3,3,20.0,266195.7,1
955.1,4,3,1,8.2,157198.03,0
878.5,1,2,11,38.5,42702.05,0
3654.4,2,3,15,28.2,136276.63,0
827.4,4,2,22,29.4,50105.41,0
4198.4,3,1,26,36.6,287041.77,1
3678.1,5,1,34,26.2,221764.44,1
866.1,3,2,49,34.7,30000.0,0
881.8,1,2,39,18.4,80056.38,0
4939.9,3,3,8,30.2,337996.02,1
2184.2,5,2,42,28.5,226583.92,1
2167.9,1,1,1,8.0,111110.89,0
4157.6,3,1,19,35.4,241784.09,1
4762.6,3,1,21,2.4,229658.85,1
4937.0,2,2,12,7.8,291313.76,1
3890.2,1,2,30,12.4,206786.19,1
2193.2,3,2,31,29.2,151054.88,0
875.8,5,3,46,7.4,163403.35,0
3997.2,3,1,26,8.3,280079.94,1
3012.8,2,1,29,20.7,170162.84,0
2409.0,5,2,27,33.2,127202.07,0
4578.6,4,2,32,3.7,258027.79,1
1000.4,2,3,21,18.5,158983.28,0
2716.8,3,3,30,38.6,164511.56,0
551.1,2,3,9,8.2,149502.14,0
2609.0,2,2,4,29.2,163832.09,0
753.4,5,1,13,21.6,163279.98,0
1034.7,1,2,26,18.1,31147.89,0
1028.9,4,3,36,5.5,59151.01,0
3421.4,4,1,8,20.0,312945.54,1
3857.2,1,3,23,21.7,263085.07,1
3125.2,2,3,2,13.1,310554.02,1
4829.8,4,2,48,6.6,418683.09,1
2186.9,5,1,41,36.2,68734.69,0
1785.7,3,3,7,7.9,220809.11,1
4408.7,5,1,20,12.6,353238.79,1
1506.2,5,1,20,12.7,172146.38,0
4834.5,3,3,10,34.1,291628.48,1
554.7,3,3,14,23.5,107808.93,0
4864.5,5,3,19,21.5,337874.63,1
694.2,4,3,43,16.4,142720.43,0
4510.1,4,1,3,33.7,347218.27,1
2874.7,5,3,42,32.5,273400.75,1
4968.3,3,3,35,10.1,251761.55,1
832.1,5,3,23,7.3,243844.25,1
2992.3,2,2,44,1.3,263566.91,1
4861.9,2,3,31,32.5,178492.88,0
2853.9,2,1,7,6.3,215953.1,1
3332.3,2,1,42,31.1,122418.56,0
3630.9,3,3,25,11.3,320447.0,1
2545.4,2,2,24,12.9,195982.57,1
3324.0,2,3,21,13.8,274345.31,1
3129.4,3,2,45,22.3,121381.7,0
4555.2,1,2,22,10.7,142424.88,0
704.5,4,1,49,4.2,51201.55,0
1764.3,4,1,18,37.3,119460.48,0
4776.9,2,2,48,8.6,223256.66,1
4506.2,2,1,25,15.1,195497.42,1
2550.5,2,1,20,2.3,184616.3,0
3290.6,1,3,48,30.2,125540.46,0
1748.2,5,2,26,15.3,169370.08,0
1346.5,1,1,19,20.2,30000.0,0
2586.6,3,3,15,9.5,233173.37,1
2090.1,4,2,33,13.9,238711.71,1
3126.5,2,3,1,11.1,249117.15,1
849.8,4,3,33,35.7,182096.19,0
4884.8,1,3,25,24.2,228024.43,1
4937.9,2,2,4,14.1,337304.48,1
3641.7,4,3,37,38.5,163361.6,0
2912.4,5,1,34,33.3,201108.03,1
1892.9,3,1,3,24.4,206525.97,1
4162.1,2,2,31,11.2,238287.13,1
3581.3,2,1,2,22.9,289815.74,1
1231.8,5,2,15,23.9,144589.75,0
4599.2,2,1,29,30.1,158813.09,0
4201.4,4,3,0,15.3,272344.84,1
4774.1,2,3,23,19.4,354092.28,1
3765.7,2,2,42,12.2,186634.79,0
3260.4,5,2,37,37.1,260831.96,1
2382.1,2,2,18,19.3,177581.22,0
4697.3,2,1,31,33.5,148922.58,0
4397.3,2,3,32,7.1,315625.31,1
703.5,5,2,18,38.5,115997.09,0
618.7,5,3,25,20.8,252859.39,1
2194.1,4,3,6,39.0,118544.8,0
4147.5,5,2,16,15.7,326989.32,1
4942.7,5,3,32,17.0,399086.6,1
1176.9,2,3,2,1.5,145753.19,0
3173.6,4,1,2,31.5,230280.28,1
2214.0,2,2,11,8.3,146663.16,0
4864.6,4,1,13,13.6,354641.23,1
4289.5,3,1,27,13.5,242103.89,1
4272.5,2,1,4,6.0,166422.24,0
2609.1,4,1,36,22.9,231646.42,1
2366.7,3,3,5,34.8,197819.33,1
1730.3,3,3,10,12.7,240193.17,1
753.7,1,1,4,30.2,63762.35,0
4391.3,1,3,23,25.4,227848.4,1
4158.1,1,3,34,7.5,288531.21,1
4998.7,3,1,14,1.9,294825.04,1
4984.9,4,1,2,34.0,358450.25,1
2999.4,4,3,11,34.6,258004.32,1
3960.4,5,1,24,21.8,328201.86,1
4751.4,2,3,9,37.5,332269.96,1
4323.4,3,1,32,30.2,213593.74,1
1613.1,5,3,14,8.1,192286.3,1
2527.4,3,2,43,22.2,228498.21,1
1081.2,1,1,1,10.4,145497.26,0
4793.2,3,3,34,8.2,359498.27,1
3227.8,1,1,10,36.6,150287.07,0
1528.9,1,3,46,3.8,34591.49,0
3522.7,4,3,23,35.4,302992.97,1
3281.6,1,1,17,27.6,292331.54,1
2111.7,5,3,4,9.7,254510.15,1
1011.0,2,3,33,6.5,53269.54,0
3522.1,4,2,43,34.2,203190.31,1
2841.4,4,1,14,10.0,286227.55,1
3975.4,4,3,17,24.1,264638.03,1
2840.7,2,3,19,16.5,126204.69,0
4334.8,3,3,10,21.5,182641.8,0
2983.6,4,2,34,33.0,120867.64,0
3024.2,1,1,1,36.0,30000.0,0
4444.9,3,3,31,14.4,270330.06,1
2315.7,4,1,40,32.7,105649.67,0
1103.1,4,3,33,3.5,129090.17,0
629.5,5,1,42,29.6,141442.37,0
3898.1,5,3,27,31.1,272734.59,1
3291.4,5,1,44,5.6,300067.78,1
3668.4,4,2,19,1.1,206025.72,1
1458.3,4,3,47,27.8,126770.81,0
1113.7,5,2,21,4.5,207606.07,1
565.5,1,3,23,36.0,30000.0,0
2077.6,5,2,16,3.7,233359.62,1
3154.6,4,3,33,35.7,212477.78,1
2265.1,4,1,5,7.8,191727.17,1
2468.6,2,1,48,2.8,197756.16,1
4568.7,1,2,40,36.5,281352.5,1
2067.1,3,3,21,10.0,121718.41,0
2813.0,1,3,17,32.1,199589.79,1
4026.4,5,1,12,32.0,203684.48,1
2284.4,5,3,15,22.9,321270.45,1
3299.4,1,2,10,38.9,200557.27,1
4380.6,2,3,19,37.9,257705.71,1
4772.8,2,1,43,26.2,264571.42,1
1161.8,3,1,36,33.8,83562.09,0
4669.6,5,1,36,7.5,251710.41,1
2714.5,4,3,43,31.8,163675.38,0
1662.1,3,2,3,31.3,166049.38,0
2566.1,1,1,0,26.5,202006.73,1
4910.1,2,1,15,33.4,214270.38,1
2716.8,3,2,1,17.5,216753.21,1
1979.4,4,3,19,26.8,180144.38,0
3350.3,2,3,10,30.7,188620.82,1
1580.7,4,2,20,2.4,192185.81,1
841.4,4,2,26,33.4,128182.3,0
1080.0,2,1,28,2.3,104986.52,0
1076.2,4,3,8,12.5,162467.04,0
1183.6,3,1,20,12.7,64754.2,0
1124.7,2,1,8,2.3,112237.65,0
3383.9,2,1,47,19.6,239458.19,1
1318.5,2,2,35,24.5,69330.11,0
2055.5,5,2,43,18.2,143281.84,0
4535.5,5,2,14,32.7,256317.76,1
2632.8,2,2,26,14.9,109599.5,0
3504.0,3,2,40,30.2,147364.23,0
1275.4,4,3,0,30.8,148227.52,0
1365.3,3,1,4,36.2,212922.75,1
683.9,5,2,20,35.7,110671.8,0
1260.2,4,1,13,39.6,108327.34,0
1753.7,5,2,24,30.4,33610.25,0
1296.5,4,3,31,4.5,202294.54,1
899.2,2,1,19,18.5,104413.38,0
1042.9,2,1,14,9.8,114747.71,0
2573.5,2,2,6,5.6,209825.25,1
1428.5,4,1,40,34.7,58673.04,0
2139.2,1,3,35,9.7,147654.04,0
2765.4,2,3,16,9.8,118327.99,0
3606.8,3,1,29,27.2,202891.61,1
676.9,2,3,4,3.5,128887.43,0
4097.3,5,1,37,1.7,416563.2,1
3325.6,2,2,13,14.5,86972.31,0
867.9,2,3,3,10.0,109800.49,0
4431.1,1,1,15,26.0,228093.85,1
4643.9,1,3,0,6.2,251603.17,1
774.9,5,3,33,29.6,151924.26,0
1745.9,3,3,33,37.0,159951.4,0
4127.9,3,1,21,2.1,298198.04,1
3867.2,4,2,36,27.0,277853.32,1
1330.3,1,3,8,11.4,196398.74,1
1442.1,5,2,39,34.4,100804.74,0
2167.1,2,2,2,15.1,172419.38,0
2680.4,3,1,23,23.1,161787.09,0
3282.1,4,3,23,6.8,308512.23,1
2160.1,4,1,46,34.9,165613.82,0
2581.4,2,1,30,12.6,149076.77,0
3863.6,4,2,20,13.3,221202.23,1
665.1,1,2,6,8.9,174520.78,0
1636.0,5,2,4,7.7,265133.82,1
3710.1,1,1,45,36.7,149821.32,0
4528.4,5,1,7,15.7,395448.42,1
2802.5,2,3,42,9.7,129245.95,0
2894.5,1,1,42,5.8,30000.0,0
982.3,2,3,14,35.9,45855.97,0
2513.4,3,1,47,7.7,166027.61,0
2896.8,4,2,11,27.8,273298.81,1
