study_hours,attendance_rate,assignments_completed,participation_score,parent_education,final_score,top_student
18.1,89.7,4,1.2,5,3838.97,0
37.0,86.4,7,8.7,3,5649.2,1
10.4,93.4,2,6.9,1,2806.19,0
8.8,81.6,12,8.0,4,6671.93,1
5.2,50.5,9,0.6,2,3362.01,0
40.4,77.4,10,6.2,4,5091.22,1
24.5,71.4,6,9.6,3,5906.77,1
4.2,57.2,6,5.8,1,2120.07,0
16.1,94.1,4,9.7,2,7162.85,1
23.3,53.1,16,9.0,2,5803.48,1
46.8,63.4,9,8.3,5,4421.41,1
33.6,76.1,3,6.0,1,2828.96,0
8.1,82.8,12,1.4,1,490.72,0
6.5,87.3,18,1.7,1,1686.37,0
24.9,94.6,4,2.8,2,4535.9,1
49.3,58.3,9,3.2,5,2598.88,0
46.4,83.5,12,0.7,1,1565.0,0
47.8,74.1,7,0.5,4,2807.23,0
15.6,57.7,16,1.6,4,2887.97,0
37.1,98.4,6,9.9,3,7056.17,1
17.9,76.2,11,0.5,4,10.05,0
12.1,74.0,1,1.5,3,786.68,0
17.9,63.6,0,3.1,5,3823.4,0
17.7,60.4,12,9.6,5,7223.92,1
2.2,86.9,16,6.9,5,6583.07,1
47.4,93.9,8,9.4,1,6090.07,1
42.8,84.7,16,6.5,1,3343.63,0
39.3,90.8,5,5.8,4,5020.47,1
33.3,81.2,19,3.8,3,4281.14,1
36.4,76.5,11,6.6,1,6718.15,1
40.3,87.5,14,0.4,4,1633.39,0
33.1,61.6,1,4.3,4,3247.59,0
24.3,83.3,9,0.3,2,1479.56,0
2.4,95.9,15,9.5,4,5363.59,1
2.7,57.5,6,4.3,5,2989.61,0
12.9,73.1,2,9.7,2,4681.37,1
1.0,59.7,17,6.2,4,5947.42,1
9.1,51.8,6,1.5,4,2565.25,0
28.9,55.4,7,1.1,1,1215.07,0
18.3,92.6,18,3.3,3,5004.84,1
4.0,86.2,6,7.5,1,5486.41,1
31.0,96.9,4,4.0,5,3153.12,0
35.5,85.4,14,2.3,1,2128.32,0
17.8,61.7,12,4.0,1,4377.22,1
24.9,77.6,10,5.4,1,2392.79,0
44.9,69.8,8,0.7,3,2924.52,0
43.1,94.2,4,8.4,1,3870.5,1
36.6,91.1,11,3.0,3,4159.36,1
10.8,86.7,8,3.6,4,1092.74,0
1.2,53.1,2,8.6,1,3832.71,0
29.6,53.0,16,1.3,5,549.51,0
23.5,62.4,2,1.1,2,1907.21,0
4.8,66.2,13,6.7,1,5614.71,1
45.6,53.4,4,0.1,4,2159.82,0
31.6,94.2,4,5.0,5,4721.45,1
12.6,76.0,7,1.5,3,2205.21,0
25.9,91.8,10,5.8,4,2750.02,0
45.7,86.2,19,5.3,5,3826.24,0
47.1,88.0,11,3.3,2,3515.22,0
3.9,53.9,8,2.9,4,3655.88,0
43.2,93.6,4,9.5,1,6902.66,1
38.6,52.0,18,3.1,5,3339.91,0
43.2,87.1,11,3.0,1,2985.31,0
3.3,67.0,10,4.9,2,3496.14,0
3.8,65.6,5,5.7,2,2927.16,0
3.5,59.7,5,8.0,2,4446.82,1
35.6,53.0,18,2.5,5,4497.5,1
8.8,57.5,6,6.7,2,6994.47,1
2.4,56.6,5,5.5,5,2624.96,0
8.4,61.0,0,9.3,3,5225.75,1
27.1,85.2,17,0.4,2,1952.77,0
32.9,54.3,0,7.5,4,3450.36,0
27.1,53.6,3,8.3,3,6428.7,1
37.3,95.5,6,3.5,4,2862.16,0
25.8,84.2,19,5.8,2,4873.72,1
1.9,63.1,19,5.0,4,2716.36,0
44.9,82.6,6,0.6,5,2176.42,0
46.7,93.8,2,5.7,3,3476.74,0
37.1,58.3,4,6.7,5,5507.05,1
16.3,85.6,9,6.1,5,5871.23,1
46.0,58.9,2,3.0,2,4595.06,1
21.9,77.5,15,7.1,3,6364.56,1
20.7,76.6,9,7.2,1,4340.05,1
33.9,65.4,8,3.5,4,2541.25,0
45.4,97.4,11,2.8,5,1897.48,0
7.8,71.9,0,2.9,3,2594.05,0
48.3,59.8,8,6.5,3,4946.34,1
30.8,92.8,7,4.4,5,3747.09,0
1.3,81.8,3,2.9,3,1953.23,0
23.9,54.1,7,9.2,1,5309.62,1
26.2,86.1,8,0.1,5,1319.1,0
39.7,76.5,3,0.1,1,454.77,0
23.0,57.7,14,4.0,4,3219.52,0
46.3,78.7,1,7.9,3,5109.9,1
32.7,58.2,19,5.1,1,4737.8,1
22.2,79.3,1,3.5,4,3952.71,1
16.3,81.6,3,2.6,1,2573.74,0
6.5,88.5,1,0.6,3,2673.58,0
4.0,63.2,13,6.0,3,4827.71,1
34.3,90.6,2,9.4,5,7059.1,1
21.6,83.8,15,5.9,1,3175.56,0
33.3,96.8,14,2.0,2,2158.83,0
16.5,50.8,13,3.5,3,3289.94,0
21.3,58.7,19,8.9,1,5128.2,1
4.9,51.3,18,3.0,3,3160.15,0
19.3,82.2,19,1.9,4,2353.89,0
25.4,69.5,9,9.6,5,6176.66,1
6.5,69.0,14,6.2,1,4634.23,1
37.4,59.3,10,2.9,4,1872.4,0
3.4,85.4,8,7.6,4,4224.13,1
22.1,54.7,6,6.5,1,3962.99,1
14.5,63.2,2,7.8,3,4860.61,1
46.1,65.2,14,5.3,2,5197.84,1
18.3,83.1,18,3.3,5,4431.2,1
10.2,71.3,1,2.5,5,1556.33,0
21.1,84.2,18,8.8,5,7432.01,1
5.2,51.2,12,5.0,5,4301.25,1
13.4,77.2,19,3.9,3,3119.02,0
34.7,84.2,15,4.0,2,4072.11,1
34.2,55.0,13,6.7,2,3931.51,1
25.2,62.8,19,4.8,5,3415.78,0
18.8,99.6,12,7.1,4,5474.06,1
27.1,97.7,17,6.4,4,6545.75,1
14.3,94.8,6,7.1,2,5955.67,1
22.2,82.1,0,4.0,3,2869.1,0
14.1,87.2,13,6.2,4,4432.51,1
42.9,68.2,2,2.4,4,1797.53,0
5.6,91.3,13,2.8,2,2621.07,0
17.0,94.5,16,5.1,5,3377.51,0
14.4,95.6,8,5.5,5,5011.08,1
37.1,78.9,5,5.9,5,1951.58,0
39.6,94.6,16,1.4,2,3049.17,0
9.4,84.0,2,8.4,2,5507.21,1
0.6,99.0,12,6.2,3,4762.93,1
40.5,88.3,17,3.3,1,2915.29,0
33.2,86.4,0,5.7,5,4719.11,1
22.5,57.0,9,8.6,4,5460.51,1
43.9,86.9,7,9.1,2,5909.12,1
7.1,72.2,8,5.8,3,4679.7,1
0.6,53.4,0,6.6,4,4600.58,1
28.0,58.0,4,1.8,2,1972.98,0
9.5,61.8,5,6.4,5,5191.37,1
4.1,98.4,13,6.0,1,4560.61,1
3.0,54.5,18,5.1,2,3808.6,0
22.9,85.9,18,8.6,1,5745.94,1
50.0,95.9,13,7.3,2,4988.51,1
26.6,60.2,11,0.5,5,2320.23,0
16.0,97.9,1,8.0,3,6091.2,1
38.8,83.4,4,6.8,2,6935.09,1
34.8,67.9,0,6.0,3,6174.91,1
38.9,85.2,18,1.6,3,1765.01,0
40.9,62.0,4,1.8,1,2936.11,0
27.2,74.1,14,6.2,4,4361.87,1
12.2,64.0,7,8.3,3,4792.41,1
42.0,91.9,2,0.4,4,1523.91,0
9.6,64.6,5,1.7,3,1512.67,0
31.3,83.2,10,3.2,2,3557.5,0
43.0,73.3,15,9.9,3,6177.39,1
6.0,80.1,9,3.6,2,3578.68,0
48.1,51.2,11,4.3,2,3750.77,0
21.5,97.4,1,1.4,2,911.22,0
45.1,93.2,0,4.5,5,5493.42,1
10.4,63.1,15,3.4,3,3733.05,0
25.8,88.7,0,7.3,4,6094.9,1
40.9,74.2,0,5.5,1,1623.58,0
6.3,88.2,17,6.7,2,4737.95,1
1.0,89.6,4,2.5,2,1708.85,0
41.5,62.4,0,3.9,3,4081.15,1
9.9,76.0,4,0.7,5,2046.67,0
27.6,59.5,5,4.5,4,4960.92,1
46.2,86.8,8,3.7,5,2452.2,0
21.7,76.2,5,2.2,5,1419.49,0
23.9,53.3,14,8.1,1,5493.37,1
25.6,80.9,6,8.0,3,4265.04,1
23.1,89.2,17,0.9,2,1951.4,0
24.3,90.5,14,3.1,5,3588.82,0
41.3,80.7,15,0.2,2,2112.56,0
32.9,60.6,1,8.4,4,6227.3,1
28.9,58.2,9,9.9,4,6165.16,1
20.9,66.1,10,3.0,4,2935.98,0
30.6,92.1,4,0.3,5,0.0,0
36.1,91.3,12,4.9,5,5372.15,1
34.4,78.2,7,0.3,4,2210.41,0
9.4,59.4,9,8.2,4,4576.36,1
20.0,84.9,1,2.5,2,2989.59,0
27.6,62.2,17,5.0,2,4098.31,1
43.1,92.4,2,2.5,4,3107.62,0
1.6,53.2,4,9.9,2,5879.64,1
9.0,55.8,9,9.5,3,5139.79,1
8.0,95.8,3,5.0,5,2777.3,0
24.2,89.7,15,5.3,3,3509.61,0
42.3,68.0,8,0.3,3,1286.78,0
46.6,94.8,12,1.2,3,553.13,0
3.0,51.5,8,4.7,2,2644.93,0
13.3,95.8,11,3.5,1,2820.92,0
26.5,77.6,19,7.5,3,3832.07,0
7.1,86.7,12,4.4,4,4684.72,1
41.8,67.5,10,2.9,1,3099.93,0
26.4,78.5,13,9.0,4,7413.38,1
23.1,94.0,10,10.0,1,4954.96,1
37.0,67.3,10,0.5,1,2387.83,0
16.5,73.4,16,9.0,4,5913.13,1
13.8,72.9,0,4.3,3,2425.86,0
14.0,88.7,11,0.1,2,1041.2,0
8.9,90.5,15,5.5,5,4672.35,1
29.4,74.0,17,6.3,3,4056.4,1
22.4,80.9,17,0.5,3,1748.14,0
29.9,66.0,18,7.7,3,5020.42,1
24.5,72.9,10,5.9,1,4241.72,1
9.9,93.7,19,3.7,4,3679.75,0
0.0,75.9,4,1.5,4,72.59,0
22.3,89.4,12,9.0,4,4606.35,1
40.0,95.4,14,5.6,3,3954.26,1
25.5,52.0,4,1.8,4,2113.96,0
44.8,71.7,16,4.3,4,3906.17,1
11.0,75.4,2,1.0,2,1934.3,0
44.0,54.3,15,7.5,3,7170.89,1
38.3,95.3,7,8.0,1,5451.26,1
29.2,80.4,19,9.8,1,6925.95,1
48.1,62.0,7,3.5,2,2203.87,0
37.2,79.1,0,5.0,4,4148.78,1
8.4,73.2,12,2.5,2,3100.12,0
45.4,82.6,14,4.7,4,3277.63,0
26.9,55.3,3,2.8,1,787.03,0
25.4,60.2,4,2.4,3,2034.63,0
45.3,74.5,16,3.9,5,3505.05,0
9.7,58.3,8,6.7,4,4942.15,1
17.7,63.4,12,6.5,1,4513.4,1
33.8,51.0,7,9.6,2,6421.92,1
19.1,85.8,10,4.7,4,2730.34,0
45.7,61.8,14,6.1,4,5330.38,1
38.5,58.6,15,3.1,4,2512.53,0
30.2,80.4,10,9.9,2,6376.49,1
7.2,56.2,5,5.4,3,2691.29,0
17.1,65.4,7,3.7,3,3674.97,0
26.7,61.8,15,1.5,2,3495.82,0
44.7,97.9,10,3.1,1,3197.46,0
12.4,65.7,14,1.7,2,801.0,0
11.2,85.5,3,9.5,3,4003.69,1
14.9,59.9,9,0.5,4,1741.5,0
36.7,54.0,15,3.7,4,3497.11,0
4.8,80.8,14,4.0,1,1794.81,0
25.8,64.9,12,1.6,4,1651.74,0
26.6,71.0,4,7.2,3,3612.43,0
43.7,59.2,8,0.7,5,1608.47,0
43.2,76.1,19,9.5,4,6403.71,1
3.4,81.6,14,3.7,1,3221.85,0
24.3,70.0,4,3.1,1,2797.6,0
5.1,64.7,3,8.3,1,4051.45,1
49.7,87.8,11,4.2,4,4853.87,1
37.1,94.2,0,6.0,3,4192.7,1
3.1,55.0,10,5.6,4,4352.58,1
41.9,91.4,15,3.3,3,3498.82,0
33.0,70.8,5,9.0,5,6439.36,1
13.2,68.1,3,7.5,3,4337.08,1
28.5,50.3,1,9.0,5,4036.87,1
15.6,87.7,5,7.1,5,5640.21,1
39.9,76.2,15,7.7,4,4153.43,1
15.5,94.8,11,8.1,2,5713.4,1
3.8,56.4,2,1.0,1,1574.41,0
19.0,84.5,19,8.9,3,5750.45,1
1.8,77.7,2,0.6,1,780.65,0
39.7,94.8,0,3.5,2,3526.03,0
7.1,76.7,2,1.1,3,1253.27,0
30.6,74.3,2,2.8,1,3383.76,0
45.7,72.3,13,3.2,4,3657.28,0
43.7,77.5,10,6.1,2,2583.97,0
10.7,75.5,13,1.1,5,2986.42,0
39.4,56.0,1,9.7,4,5499.84,1
12.1,99.1,18,9.6,4,6443.53,1
45.3,69.8,12,4.1,5,2440.75,0
3.4,92.3,19,4.9,1,3567.63,0
28.1,51.8,7,1.3,2,2838.42,0
41.0,67.5,7,4.8,4,4322.38,1
38.1,67.4,18,8.3,5,7159.01,1
24.0,61.0,18,1.0,1,958.0,0
24.0,67.4,12,7.5,5,5587.29,1
14.9,73.6,2,9.3,1,5136.44,1
18.5,90.5,1,8.2,5,5847.12,1
27.3,53.1,19,6.1,5,5217.03,1
17.9,56.9,7,5.5,2,3163.6,0
16.2,56.0,3,6.7,4,3865.74,1
13.3,74.3,1,9.6,3,6320.28,1
23.5,59.9,19,8.3,2,5806.1,1
37.1,68.6,14,7.6,4,8327.11,1
24.0,78.6,5,3.2,3,4058.69,1
39.9,83.3,17,3.3,2,3538.22,0
17.5,83.3,5,5.1,3,3429.64,0
9.1,91.6,7,7.6,4,5395.26,1
15.7,54.6,4,2.1,1,1508.9,0
43.4,84.8,13,4.8,3,5422.53,1
14.2,59.8,1,4.7,3,1813.37,0
42.1,55.5,4,7.2,1,4462.27,1
6.4,95.3,17,5.7,5,5696.94,1
29.4,57.4,4,8.9,2,5887.68,1
10.4,70.8,1,6.3,1,4542.61,1
44.4,65.8,17,2.0,5,3192.45,0
48.9,50.3,16,5.5,3,2460.14,0
39.8,57.4,15,5.1,4,3830.02,0
19.5,51.1,19,9.7,3,7595.98,1
4.5,99.7,10,8.3,1,5825.75,1
9.0,97.6,17,8.0,5,5300.26,1
24.1,76.9,11,5.1,5,5760.35,1
13.3,90.5,0,6.4,3,4756.42,1
15.2,94.8,13,5.0,2,3814.3,0
19.9,74.9,19,4.7,3,5093.39,1
22.9,60.0,12,4.3,4,4221.94,1
2.8,80.9,12,1.3,1,1471.95,0
33.0,99.6,1,1.2,1,1141.17,0
43.0,65.5,12,8.0,4,5231.59,1
37.4,67.2,5,1.6,2,1483.23,0
27.2,65.7,7,6.5,1,4648.3,1
11.0,97.2,4,6.7,3,4620.26,1
43.1,91.6,6,5.4,2,4168.56,1
22.1,85.3,0,4.8,5,3276.28,0
32.0,86.9,6,8.2,4,5942.67,1
32.6,86.5,5,2.1,2,2275.44,0
1.2,65.2,9,9.6,3,6662.38,1
39.9,82.2,16,1.0,5,1982.33,0
6.4,81.7,14,3.8,1,2346.64,0
10.0,54.6,0,9.7,1,5054.21,1
19.5,91.2,18,2.4,2,3689.55,0
5.5,63.4,13,0.2,1,804.84,0
47.6,62.8,17,0.4,1,779.26,0
47.7,68.5,9,1.5,1,1267.61,0
40.2,65.9,10,0.0,5,1450.44,0
1.7,89.5,0,8.3,5,5713.17,1
19.0,63.7,0,0.0,4,2803.29,0
5.8,79.0,7,5.5,1,2422.41,0
10.8,73.9,17,6.6,3,4318.16,1
3.3,86.1,8,9.4,3,8960.93,1
12.1,93.0,2,1.6,3,2286.99,0
42.5,84.0,1,9.0,4,5636.58,1
12.3,69.8,14,7.7,3,7402.9,1
43.6,72.6,1,9.9,3,5301.28,1
28.1,74.3,14,7.0,3,5586.15,1
7.0,74.5,10,3.7,5,3070.76,0
17.5,51.8,15,8.6,4,3082.44,0
40.7,80.9,10,7.8,5,6246.86,1
45.1,99.5,8,9.4,5,5964.33,1
37.6,74.5,12,2.2,1,3207.7,0
24.8,89.9,9,0.3,3,2998.76,0
32.1,99.8,16,2.0,4,4986.89,1
13.0,61.7,10,4.2,2,3267.76,0
20.9,66.7,13,3.4,2,2933.29,0
24.9,97.4,16,5.1,1,2884.09,0
22.1,71.0,9,5.8,2,2549.49,0
30.7,68.0,9,4.1,4,1727.08,0
23.6,60.7,5,8.5,4,5310.85,1
8.7,69.1,15,1.8,1,1932.08,0
43.6,78.6,17,5.7,2,5302.75,1
7.1,78.2,10,0.1,3,2377.94,0
12.6,64.3,8,7.5,2,5714.8,1
35.7,87.3,10,1.1,2,1964.59,0
46.7,66.7,10,6.8,1,3937.58,1
22.7,94.7,3,6.3,2,5151.51,1
27.7,99.9,2,0.4,5,271.62,0
48.1,73.0,17,9.3,5,9122.8,1
18.7,54.3,7,5.5,1,1900.76,0
30.8,62.4,10,0.0,2,501.1,0
2.8,76.8,17,7.8,2,5104.88,1
26.0,87.9,11,8.9,3,3804.61,0
44.7,73.6,3,5.7,2,4114.63,1
16.4,83.1,4,1.1,1,1904.01,0
29.1,87.4,18,1.8,3,2674.8,0
27.5,74.4,7,0.9,5,667.5,0
19.9,83.6,2,1.8,3,925.87,0
34.2,87.2,7,8.0,5,5420.58,1
6.8,59.6,3,8.9,1,3443.82,0
39.2,85.2,1,9.8,1,5401.15,1
28.7,82.3,0,5.9,1,3928.38,1
22.3,56.4,18,9.4,3,6182.2,1
43.0,92.9,6,1.0,1,2090.61,0
37.5,91.3,13,1.4,4,2568.53,0
43.3,88.6,10,9.1,1,5027.48,1
32.1,87.3,11,8.7,1,7468.04,1
48.4,54.9,0,8.3,2,4225.73,1
23.0,92.2,8,4.1,4,2568.61,0
13.9,84.0,17,4.5,2,2607.76,0
35.7,81.2,4,3.3,4,4443.65,1
19.3,69.2,16,2.5,5,3510.24,0
37.7,88.6,17,2.4,4,1892.9,0
37.4,91.0,15,9.5,5,7396.01,1
14.1,93.6,1,8.0,2,5026.93,1
22.7,52.8,18,8.1,2,4359.87,1
49.1,80.0,18,1.9,1,1738.91,0
43.8,68.3,11,2.9,4,2098.47,0
3.2,93.3,5,2.3,2,1468.36,0
16.2,73.1,3,4.0,5,4448.22,1
47.8,71.3,17,0.2,3,922.61,0
28.1,52.0,3,7.8,4,5367.42,1
10.9,70.7,7,8.6,4,7183.48,1
26.2,75.0,8,6.1,3,4812.66,1
27.5,70.3,5,3.2,3,4289.13,1
23.3,63.6,19,3.7,2,3957.02,1
17.4,52.1,17,7.9,2,3749.39,0
49.8,95.4,15,3.0,1,1444.24,0
15.4,61.8,19,3.6,5,4276.31,1
17.7,88.4,11,0.3,3,2614.06,0
32.7,53.2,0,7.5,5,3859.6,0
17.7,78.0,12,4.2,3,1556.2,0
49.2,78.2,4,6.7,3,2615.27,0
3.8,70.7,2,0.1,5,544.14,0
23.9,57.7,2,7.1,5,4701.27,1
13.0,80.0,8,1.4,4,1482.89,0
6.1,90.0,14,7.8,2,5747.04,1
40.0,60.5,12,7.2,5,6080.06,1
34.7,82.5,9,7.2,4,6326.16,1
49.8,58.7,9,1.5,3,2784.67,0
15.5,54.4,5,3.5,3,3289.36,0
49.1,83.4,13,0.8,1,398.39,0
32.3,84.1,3,3.2,4,3487.02,0
26.1,92.9,3,3.3,3,1781.63,0
34.6,77.4,8,1.0,3,1332.36,0
20.3,97.3,6,7.2,1,4355.79,1
42.8,66.1,12,1.1,2,1309.91,0
7.4,64.0,6,9.5,1,7217.19,1
41.1,77.5,4,2.2,3,1076.76,0
46.1,76.4,11,8.8,5,5690.09,1
1.1,89.2,17,4.0,5,4202.74,1
3.0,89.0,8,9.7,4,6702.74,1
11.6,63.4,0,4.3,1,3269.39,0
20.2,71.7,6,2.6,2,3669.73,0
28.2,53.1,0,3.9,1,2952.34,0
18.8,60.1,18,1.3,2,3576.09,0
12.7,85.8,4,8.4,1,4622.51,1
34.5,65.8,9,3.4,4,4298.49,1
25.7,76.1,17,8.4,3,6958.9,1
7.5,68.4,2,10.0,3,6212.58,1
49.8,65.0,18,3.0,3,4697.05,1
13.1,62.7,6,4.6,2,4176.46,1
30.4,91.8,12,4.5,2,4233.9,1
47.8,58.6,8,6.6,4,4344.8,1
12.2,52.3,0,7.8,5,2891.01,0
25.4,85.6,18,3.7,3,3084.15,0
27.2,86.6,6,4.0,5,4425.74,1
45.5,80.1,19,0.7,2,2307.98,0
14.4,66.6,9,4.2,2,2358.82,0
15.5,81.8,16,8.9,3,6276.24,1
6.4,58.6,8,1.2,1,2108.63,0
9.9,80.1,1,7.8,4,4242.7,1
17.8,72.0,18,1.8,3,3892.48,1
42.8,77.2,19,4.7,1,3477.66,0
21.9,57.7,16,5.6,2,4822.94,1
32.6,51.8,18,1.2,5,4468.28,1
3.2,96.8,2,6.4,2,5010.48,1
25.1,81.4,14,1.0,3,2485.54,0
0.4,94.4,13,2.6,3,3304.26,0
4.3,72.6,16,6.8,3,5248.16,1
1.9,96.9,3,5.6,1,3332.56,0
29.9,73.4,19,3.1,3,4347.2,1
20.3,100.0,14,6.7,3,4030.9,1
36.1,85.4,9,9.0,3,6717.36,1
8.2,56.2,2,3.2,4,1637.25,0
28.6,95.7,2,6.4,5,5080.82,1
39.7,51.4,13,2.6,2,367.4,0
21.9,79.2,14,8.0,3,5355.57,1
34.8,79.2,1,3.7,2,3154.71,0
17.5,86.1,14,4.5,5,3510.89,0
15.6,68.3,3,1.8,2,783.21,0
47.1,63.9,19,4.1,2,3259.36,0
44.8,87.1,5,1.4,1,1834.6,0
48.8,88.0,16,6.8,4,4035.37,1
43.3,72.8,13,1.7,4,669.18,0
35.9,89.7,3,2.5,3,3102.12,0
6.5,61.6,6,1.6,2,2229.91,0
20.1,68.2,13,2.5,4,2481.09,0
5.3,89.8,14,3.3,4,3677.97,0
28.4,88.9,7,4.3,5,2642.93,0
19.8,71.9,10,3.2,5,2909.83,0
10.7,85.3,5,7.8,3,6892.27,1
22.2,79.8,3,0.4,5,2960.78,0
19.3,85.5,18,1.1,4,4314.25,1
41.1,85.8,7,0.8,4,1564.97,0
14.5,50.1,15,8.4,2,4079.98,1
40.6,88.2,19,6.7,4,6032.78,1
2.2,95.6,6,8.8,4,5723.69,1
24.2,70.3,9,9.0,2,5691.86,1
2.3,54.8,19,6.7,3,5748.67,1
34.8,54.4,13,0.7,2,1853.99,0
7.0,58.8,5,1.7,2,1832.64,0
5.4,89.5,15,0.9,2,1300.39,0
45.1,89.6,12,5.8,3,3287.01,0
4.7,86.5,4,3.2,3,2398.51,0
23.7,78.2,19,8.1,5,6401.84,1
0.2,88.0,18,6.1,4,4792.08,1
45.9,98.0,15,3.0,1,3298.58,0
41.1,71.7,15,0.2,2,1629.17,0
12.8,90.8,17,1.1,2,2304.06,0
44.4,88.8,14,2.8,5,3576.41,0
45.1,93.9,3,6.7,2,4388.96,1
47.7,92.9,7,0.4,2,1145.87,0
38.6,90.6,15,3.1,2,2129.89,0
44.0,92.5,0,4.3,4,2713.21,0
31.2,61.8,3,8.0,4,3536.1,0
33.5,74.5,13,4.2,4,3638.97,0
39.0,77.1,5,0.7,5,469.89,0
34.1,91.2,11,9.7,1,5479.76,1
38.7,59.0,12,5.5,5,5652.77,1
7.0,89.7,14,6.2,3,3468.87,0
19.4,73.4,19,4.0,2,4601.78,1
20.8,80.0,0,4.1,5,3327.59,0
2.3,89.1,4,6.7,4,4982.96,1
10.7,64.1,19,1.2,2,1816.12,0
33.5,87.5,15,8.4,4,6457.18,1
28.3,53.0,2,3.1,4,2333.76,0
40.1,93.4,10,8.4,2,4587.12,1
30.6,91.0,4,9.1,3,4138.47,1
21.7,68.3,4,1.6,5,2265.28,0
25.0,59.4,18,2.2,1,2955.84,0
18.2,56.9,6,9.0,1,5505.18,1
34.1,53.1,10,6.2,4,4562.51,1
25.2,59.2,10,2.1,5,1940.92,0
50.0,97.8,9,9.0,5,7422.2,1
33.8,58.9,3,6.8,3,4760.08,1
5.7,99.7,1,5.5,3,3764.37,0
38.1,84.4,0,5.0,3,2672.68,0
8.8,72.7,5,5.1,3,4516.96,1
36.4,86.5,16,5.0,4,5951.75,1
7.8,90.4,14,5.9,5,4176.46,1
32.2,78.6,6,4.4,5,3632.25,0
17.8,61.7,10,8.4,3,6933.11,1
45.2,93.2,6,3.8,2,3979.22,1
19.0,63.6,4,5.6,4,3048.48,0
19.7,52.8,3,0.9,4,0.0,0
35.6,50.4,7,7.3,2,3774.73,0
35.2,95.9,16,1.0,1,2603.85,0
38.7,80.0,0,6.4,1,5336.82,1
15.1,74.9,0,8.6,3,4846.34,1
11.9,73.2,0,0.9,1,2149.85,0
9.6,67.9,6,10.0,2,4361.81,1
13.7,61.1,10,0.6,4,1378.8,0
24.9,94.6,5,7.3,3,4793.75,1
13.5,68.7,9,0.3,3,3262.11,0
3.1,53.6,9,3.7,3,1015.08,0
42.3,68.6,14,9.8,4,8710.81,1
22.4,95.3,8,7.1,2,2155.87,0
38.2,79.1,8,3.9,4,4441.2,1
4.1,72.2,8,8.0,1,4752.81,1
11.5,83.7,17,2.8,2,2540.01,0
25.5,71.7,17,3.9,2,4786.72,1
11.8,56.5,18,8.7,2,6385.27,1
3.4,89.6,18,5.3,2,4064.28,1
5.9,51.8,19,7.1,3,5497.76,1
21.1,99.5,0,3.2,1,2567.22,0
37.5,76.4,6,2.2,4,4665.17,1
47.0,94.2,13,2.9,1,2509.25,0
11.7,74.1,14,1.6,5,3694.15,0
39.5,65.1,18,8.2,3,4914.99,1
45.3,52.2,11,2.7,2,2367.98,0
37.7,66.4,8,9.7,3,7346.3,1
33.0,54.4,18,5.4,2,3533.93,0
