years_experience,education_level,age,performance_score,city_tier,salary,high_earner
13.3,5,29,3.92,2,83420.4,0
26.5,3,51,5.32,1,144336.46,1
7.9,2,28,1.57,2,38333.96,0
0.2,3,37,2.02,3,20000.0,0
21.2,4,39,0.68,2,100323.13,1
5.1,3,47,3.55,1,43740.02,0
1.6,3,21,1.67,2,20218.68,0
14.7,5,59,6.56,1,137562.13,1
19.4,2,36,0.59,1,85389.95,0
17.2,2,38,4.35,1,98227.12,1
21.3,1,29,7.37,3,116188.2,1
26.3,5,40,1.39,1,138736.37,1
22.5,3,55,9.95,1,125970.21,1
11.7,2,54,1.5,3,50502.05,0
19.5,1,33,6.31,1,94265.45,1
24.6,2,44,2.99,2,116627.87,1
26.9,2,35,6.27,1,138645.14,1
7.1,1,22,3.25,1,38432.5,0
3.0,1,22,9.66,1,48880.1,0
24.4,1,24,9.27,1,113996.54,1
14.6,1,24,5.32,2,72450.64,0
21.6,5,25,8.49,3,142272.83,1
19.7,4,58,9.54,1,134165.1,1
12.5,5,23,3.25,3,90659.52,0
14.2,1,23,2.52,1,74309.62,0
29.2,5,34,6.65,1,160260.21,1
15.7,5,50,4.5,1,106244.59,1
2.5,4,44,4.66,1,54548.9,0
18.6,3,51,5.15,2,103348.17,1
13.9,2,26,1.0,1,75466.91,0
22.4,1,57,5.54,3,90166.58,0
17.3,3,21,5.84,1,108069.01,1
17.6,5,37,7.49,2,128333.2,1
0.3,3,49,8.08,3,34739.47,0
11.2,4,47,8.4,1,84778.99,0
21.9,3,30,6.53,3,126886.41,1
18.2,4,22,8.37,3,139318.97,1
15.4,4,27,5.25,3,102826.15,1
25.2,4,22,6.46,2,139766.62,1
4.3,2,51,1.29,1,55825.83,0
7.8,5,58,3.77,1,73847.2,0
25.0,4,35,7.63,3,137378.62,1
25.1,1,57,8.85,1,133679.78,1
5.0,3,36,3.56,2,49381.65,0
16.5,1,59,3.04,1,69379.44,0
29.9,4,41,0.91,1,164546.88,1
16.3,5,40,1.73,2,109089.13,1
26.0,5,57,3.92,1,149692.26,1
24.6,3,49,6.83,1,142350.81,1
14.6,5,37,5.82,3,109318.58,1
27.9,5,57,2.2,1,149086.38,1
18.7,2,33,6.27,1,100617.47,1
3.8,3,40,4.16,2,58913.34,0
17.7,5,41,1.91,1,121597.34,1
1.3,2,58,6.92,1,31981.9,0
13.6,1,41,7.03,1,70746.39,0
16.3,1,47,1.48,1,79842.16,0
12.3,1,48,3.23,2,51177.63,0
26.3,3,44,4.59,3,129095.61,1
2.3,4,52,2.65,2,45758.85,0
22.2,4,37,0.57,1,116558.91,1
25.9,2,40,5.86,2,126980.85,1
22.0,1,22,2.6,3,93319.05,1
12.3,5,53,9.54,1,109532.35,1
7.1,3,53,1.02,3,51398.06,0
17.2,1,49,2.71,3,88444.33,0
1.5,3,54,1.7,1,33980.41,0
20.1,5,32,4.13,3,123552.26,1
4.4,4,20,9.79,1,80658.29,0
19.5,3,37,0.46,1,104573.99,1
22.9,2,54,6.71,3,119203.84,1
7.9,4,30,8.23,1,69353.22,0
15.6,3,56,8.82,2,84614.11,0
6.5,3,30,7.8,1,72149.5,0
9.8,3,51,6.18,3,75805.37,0
23.2,3,44,6.09,1,137583.28,1
24.1,5,43,6.03,1,153770.65,1
29.5,1,31,0.64,3,130343.34,1
18.9,1,32,2.61,2,98250.38,1
13.0,3,23,6.9,2,95181.25,1
20.4,4,29,4.24,1,122454.73,1
7.4,4,53,1.08,1,55740.98,0
8.5,1,28,7.62,2,53576.87,0
3.6,5,22,7.49,3,64667.37,0
21.0,5,56,2.02,1,128761.7,1
0.4,4,46,9.33,1,52811.53,0
27.1,2,36,8.29,3,133048.77,1
4.0,2,20,8.71,1,60136.02,0
21.0,4,48,0.93,1,110049.67,1
29.9,3,33,2.78,3,153715.15,1
9.6,1,39,6.15,1,43610.55,0
5.0,5,46,8.41,2,95561.92,1
1.2,2,52,5.26,3,20000.0,0
5.6,1,40,5.62,3,60218.74,0
15.0,3,50,4.89,2,82847.67,0
6.5,5,53,1.7,2,59716.47,0
28.5,3,20,4.88,1,150149.78,1
5.8,3,38,6.06,1,35339.71,0
14.6,2,38,8.52,3,97398.18,1
16.6,3,53,3.92,1,112758.41,1
3.1,4,57,9.45,1,59937.14,0
13.1,4,38,4.99,3,91397.02,0
0.8,3,28,8.1,3,32990.56,0
7.8,3,35,5.54,2,77966.83,0
3.1,4,22,1.5,1,40220.79,0
10.9,1,32,3.36,2,54275.76,0
6.3,3,35,0.39,1,30848.05,0
27.3,1,59,4.84,1,117467.52,1
0.5,2,59,3.96,1,20000.0,0
7.3,2,26,9.64,2,59835.26,0
13.3,2,48,9.91,2,79405.93,0
11.4,2,56,8.0,1,84420.95,0
20.9,4,35,7.92,1,138836.83,1
6.5,4,23,6.46,2,83645.62,0
16.9,3,21,2.19,1,68564.65,0
1.5,5,58,6.23,2,39921.78,0
25.8,1,41,6.15,1,130344.28,1
25.6,3,43,3.96,3,125312.01,1
6.5,5,55,4.2,2,52334.69,0
7.9,1,49,8.14,1,55521.01,0
14.6,5,20,5.52,1,110522.41,1
20.3,2,46,7.0,2,99606.66,1
23.4,4,34,6.76,2,119678.87,1
17.7,2,52,7.51,3,89624.57,0
27.3,3,45,1.22,1,146505.14,1
21.4,1,25,2.65,1,105695.76,1
28.3,3,35,8.77,3,145162.14,1
23.1,4,48,3.8,3,141866.02,1
30.0,2,24,4.75,1,144274.39,1
21.5,5,45,0.05,1,143094.42,1
1.3,3,53,9.16,2,51886.98,0
27.0,4,55,0.78,2,129305.08,1
8.6,1,59,8.73,2,42464.56,0
13.2,5,58,2.69,3,83573.6,0
14.7,3,29,9.53,1,99530.55,1
16.5,2,44,1.93,1,93035.14,1
16.4,5,33,0.22,1,114077.46,1
19.1,2,48,4.58,1,114012.25,1
15.0,4,42,9.38,2,118885.09,1
13.9,2,55,4.79,1,84272.79,0
20.3,4,43,8.79,3,108288.01,1
24.6,4,30,0.34,3,132806.21,1
17.3,1,37,8.91,2,101320.41,1
7.5,4,36,3.22,3,73610.09,0
1.7,1,56,4.62,1,27581.98,0
21.4,1,26,4.75,1,116099.1,1
28.6,2,46,8.86,3,156820.48,1
21.6,4,28,2.08,1,119707.47,1
6.3,3,55,2.92,3,55817.29,0
18.1,2,27,0.26,3,76177.62,0
14.8,4,21,4.26,2,102490.04,1
4.9,2,52,1.62,2,24177.54,0
27.8,1,55,2.82,2,113388.11,1
4.4,2,49,1.72,1,28776.85,0
1.1,4,42,4.4,1,42556.0,0
8.0,4,55,9.46,1,85234.98,0
4.8,1,36,0.27,3,31808.12,0
24.6,4,23,9.69,3,145917.31,1
6.3,4,21,6.25,3,61345.33,0
29.2,4,55,5.32,3,163238.94,1
8.4,1,21,4.85,1,66244.46,0
25.6,3,37,4.17,1,132040.17,1
22.4,2,51,5.75,2,107130.87,1
16.9,2,41,0.23,1,83948.28,0
27.1,4,54,6.89,3,141605.39,1
12.5,4,38,2.65,1,93211.0,1
25.0,2,31,8.41,2,109629.14,1
28.9,5,29,1.23,3,158197.1,1
4.0,3,25,3.95,2,54880.12,0
23.5,2,46,8.04,3,141979.96,1
9.3,3,36,3.97,3,69141.89,0
13.8,5,55,0.19,1,94389.08,1
15.9,1,52,6.05,1,61004.28,0
5.2,5,54,8.28,2,70178.91,0
25.3,1,20,3.58,2,127740.79,1
15.1,1,46,1.78,1,75919.07,0
23.7,2,40,2.95,2,102924.33,1
6.7,4,38,2.2,3,73567.13,0
4.1,4,37,4.46,3,56947.34,0
6.0,1,47,7.61,2,45309.46,0
21.0,4,44,0.34,1,127804.75,1
29.6,5,55,3.16,1,174506.73,1
1.1,4,24,5.87,2,41645.73,0
15.1,2,38,5.55,1,66994.27,0
12.0,1,50,4.19,3,79367.68,0
6.3,1,26,5.89,3,32204.71,0
25.3,4,46,6.54,2,145314.62,1
3.5,4,29,3.84,1,51979.08,0
24.4,4,58,1.61,2,125495.12,1
26.1,1,51,0.11,2,116518.42,1
22.6,4,29,9.62,3,159092.12,1
21.0,4,25,2.61,1,123407.45,1
6.5,3,31,6.02,3,46400.69,0
2.4,3,36,3.14,1,27952.37,0
21.0,5,55,4.23,1,139119.13,1
9.7,4,30,3.97,2,63785.69,0
29.2,1,35,0.32,3,148798.37,1
23.4,4,59,3.44,2,127291.36,1
0.4,1,55,3.48,3,20000.0,0
1.2,1,59,9.37,2,37997.49,0
3.9,5,38,2.92,3,57634.32,0
27.5,2,36,7.69,3,137017.09,1
27.7,1,30,0.9,2,128026.81,1
19.7,4,34,3.73,1,106703.47,1
21.4,1,56,5.2,1,111786.42,1
6.7,3,52,6.72,2,63003.38,0
20.0,1,41,8.27,1,104368.45,1
8.6,5,41,1.12,3,80947.81,0
27.1,2,34,5.67,1,138676.57,1
23.4,2,21,2.05,1,102964.58,1
3.3,2,50,9.59,1,37346.31,0
2.9,3,57,8.34,2,42427.63,0
21.6,5,45,2.84,2,114055.47,1
23.4,3,41,4.19,1,122334.85,1
18.9,5,28,1.66,1,112780.92,1
24.4,3,34,2.79,2,120544.75,1
16.0,4,21,3.51,3,102761.04,1
23.9,5,22,9.4,3,149001.87,1
1.2,5,45,8.07,2,45150.51,0
11.3,3,25,3.02,2,74554.54,0
24.9,2,59,6.16,2,121889.98,1
8.9,3,57,6.79,3,97334.01,1
18.2,1,25,3.23,3,87569.24,0
6.3,4,58,3.5,2,76657.26,0
3.1,5,38,1.2,1,62657.88,0
18.0,1,24,4.33,1,97776.7,1
1.3,4,40,6.84,2,48519.71,0
24.9,4,24,5.19,2,126162.69,1
8.9,4,28,6.66,1,73947.55,0
21.7,1,33,2.57,2,87967.61,0
9.1,4,32,6.52,3,83632.27,0
23.7,3,52,3.77,2,122813.45,1
24.2,2,49,4.48,1,136578.61,1
5.2,3,40,8.54,2,67343.54,0
24.3,5,27,7.37,1,159062.49,1
5.0,3,21,8.13,1,69316.72,0
12.0,4,23,3.84,2,86079.0,0
28.4,2,38,3.17,3,151767.6,1
18.1,3,37,9.42,3,99031.18,1
19.8,1,22,6.95,2,92064.71,1
21.8,2,25,8.13,3,126742.82,1
8.5,2,49,4.31,2,72700.92,0
2.7,1,25,6.46,1,20000.0,0
10.6,1,47,8.58,1,89092.68,0
26.0,5,58,7.23,2,160456.66,1
1.4,4,48,5.93,3,62427.03,0
21.6,3,57,8.82,1,135373.98,1
7.6,3,54,0.88,1,52446.12,0
9.4,1,49,0.84,3,30744.94,0
1.2,3,39,4.45,2,40510.46,0
7.9,5,44,6.7,2,70613.26,0
2.9,2,58,9.37,2,36825.94,0
27.1,3,20,1.28,3,130937.66,1
24.7,3,30,7.81,1,145807.25,1
29.3,1,47,4.54,2,137775.11,1
10.9,4,26,9.39,1,102643.98,1
14.7,4,55,2.55,2,80416.2,0
18.6,2,38,0.73,2,88074.92,0
9.8,2,20,9.14,3,85498.23,0
15.2,1,45,1.04,2,72635.46,0
10.7,1,26,6.88,3,76979.87,0
13.2,1,33,6.58,1,79100.32,0
26.9,3,37,5.17,3,148758.58,1
3.4,5,40,6.37,3,54964.19,0
16.7,2,53,9.31,1,90792.19,0
16.3,3,49,2.6,1,104334.18,1
17.8,2,27,2.99,2,104920.74,1
29.5,3,33,2.85,3,135898.99,1
22.9,2,46,7.49,1,122431.51,1
21.8,3,35,6.98,1,122718.94,1
24.5,3,50,2.09,3,144870.1,1
1.2,5,23,8.58,3,65240.44,0
26.9,5,30,9.41,2,158537.64,1
2.5,3,35,7.33,1,49093.53,0
15.3,1,47,7.65,2,66520.86,0
12.3,3,28,8.5,2,91495.42,0
18.0,1,33,3.8,3,89354.18,0
25.1,2,27,4.74,3,128520.18,1
13.2,3,44,9.14,2,105397.91,1
6.3,3,37,7.84,1,82188.23,0
13.2,5,21,2.01,2,87618.69,0
4.3,4,54,8.09,1,42347.95,0
10.7,2,46,2.71,2,67478.42,0
12.9,3,33,7.16,2,72428.9,0
13.5,1,48,4.79,3,72398.33,0
18.6,4,28,9.27,3,111845.78,1
23.8,1,53,9.52,2,121963.83,1
25.3,4,31,9.57,1,152413.88,1
10.3,1,20,4.23,1,59953.09,0
19.1,1,35,3.15,1,88498.25,0
14.5,3,50,9.58,1,100714.48,1
0.9,5,50,0.0,2,44145.24,0
15.1,2,59,5.5,3,71959.32,0
18.0,5,45,6.01,2,111662.66,1
0.6,2,32,2.59,1,25257.87,0
26.1,3,37,1.78,3,127880.8,1
18.7,2,30,2.61,1,97175.01,1
18.2,1,23,2.92,1,76199.6,0
24.2,3,28,3.26,1,129687.82,1
13.7,2,59,5.63,1,84321.52,0
26.8,3,53,9.14,2,136288.38,1
26.8,5,54,0.56,1,154229.87,1
0.6,2,40,7.71,3,32420.22,0
4.3,1,53,5.98,2,32189.75,0
3.1,3,56,5.97,3,55993.15,0
0.2,3,55,9.4,1,65024.12,0
6.2,3,41,5.36,3,46840.23,0
15.2,5,24,5.9,2,112610.98,1
27.3,1,35,4.41,3,119251.24,1
15.7,1,55,6.91,3,63328.59,0
7.7,3,33,7.14,3,59939.79,0
28.5,3,33,7.02,3,160993.42,1
19.1,3,43,2.2,3,105156.1,1
0.3,2,38,5.98,3,29495.14,0
7.1,2,33,7.66,2,56634.66,0
17.1,5,33,2.6,2,84107.02,0
7.8,2,24,5.16,2,52265.28,0
21.1,2,46,0.79,3,104290.89,1
8.1,4,39,5.17,1,73249.17,0
24.4,2,49,6.12,1,101753.48,1
2.8,5,43,3.18,2,53374.23,0
4.1,4,32,7.57,1,50996.87,0
12.6,2,27,0.42,1,65148.29,0
21.6,4,35,0.07,1,124984.28,1
19.9,2,20,7.91,2,114997.7,1
30.0,5,57,2.55,3,171858.22,1
8.4,2,20,6.62,3,75489.41,0
17.0,3,54,9.6,1,127550.02,1
19.1,2,56,2.39,3,92821.0,1
17.1,2,30,8.39,1,118218.35,1
15.0,5,29,1.85,3,110428.09,1
6.4,1,37,2.45,2,20000.0,0
2.7,2,24,0.07,3,34591.47,0
2.0,4,21,6.88,3,58291.62,0
5.0,3,54,1.57,3,37840.35,0
28.2,4,48,6.58,3,156185.66,1
12.9,1,34,0.49,2,61105.73,0
18.9,3,37,2.82,1,108130.54,1
19.6,5,51,6.86,3,144519.08,1
8.5,5,39,3.14,2,79351.22,0
5.5,3,21,1.12,3,46347.49,0
22.8,1,26,2.7,1,109844.29,1
9.8,4,31,6.39,3,65055.82,0
19.9,5,37,9.74,1,135435.21,1
12.5,3,20,9.57,1,89888.01,0
24.6,3,43,0.12,3,124091.73,1
22.0,2,41,9.78,1,108754.37,1
20.5,5,55,4.2,2,129437.48,1
15.4,1,35,8.66,1,89858.46,0
0.9,3,26,9.3,3,41009.23,0
16.9,2,39,1.93,1,89061.3,0
20.9,3,39,2.18,2,114781.7,1
25.4,3,49,5.26,3,126712.63,1
27.4,3,48,7.81,2,138915.38,1
13.1,5,49,1.06,1,104122.84,1
18.8,3,46,8.76,2,106247.44,1
1.6,1,24,5.75,2,20000.0,0
3.6,3,27,8.98,1,56743.48,0
26.8,1,34,2.98,3,117445.63,1
2.7,4,21,7.03,3,48720.66,0
5.4,1,24,2.99,2,23559.27,0
0.8,3,25,4.13,2,30710.73,0
12.9,2,53,6.58,2,72063.36,0
7.5,5,31,9.29,3,87061.13,0
26.0,4,52,5.54,2,148716.34,1
8.8,2,27,4.65,1,49156.63,0
16.1,3,37,4.81,2,105489.87,1
16.8,1,28,9.39,2,79649.4,0
8.1,4,23,1.77,1,62481.73,0
29.1,4,25,9.46,3,145526.1,1
2.1,4,57,9.56,1,55730.71,0
1.7,4,27,8.86,3,55054.28,0
20.3,2,39,8.93,1,131319.67,1
19.8,2,39,8.47,2,111046.61,1
5.2,3,40,8.91,2,69710.58,0
5.3,5,34,3.58,3,55562.15,0
23.9,4,28,2.67,3,125013.91,1
2.9,4,51,4.8,1,42890.9,0
13.9,1,33,0.62,3,64633.15,0
20.9,5,49,6.25,3,114895.32,1
17.5,4,43,7.12,3,115066.26,1
3.3,2,34,4.33,1,23620.54,0
7.8,1,28,7.03,3,33466.5,0
7.0,1,53,5.0,2,47049.43,0
28.3,5,42,4.62,3,156631.92,1
2.8,1,42,6.28,2,28207.31,0
21.6,4,48,6.87,3,141838.73,1
9.5,3,27,9.67,3,76954.88,0
29.7,3,32,7.69,2,168566.98,1
26.1,4,54,1.93,1,142634.87,1
18.4,5,41,4.46,3,129621.43,1
21.3,4,45,6.91,3,119350.78,1
10.0,4,31,9.64,2,96808.52,1
2.7,1,31,8.43,2,43999.4,0
26.5,3,35,6.92,3,136537.92,1
27.9,2,59,2.34,3,128158.57,1
14.3,4,37,2.25,2,97953.22,1
26.0,4,44,2.72,1,144283.52,1
27.4,1,57,1.66,3,137199.65,1
2.9,1,44,7.49,3,20000.0,0
0.6,1,38,0.29,3,20000.0,0
16.1,3,55,4.07,3,97824.01,1
17.3,5,34,2.7,2,113571.15,1
4.5,5,42,1.45,1,52357.44,0
4.2,5,21,1.8,2,70348.37,0
19.7,4,54,0.55,2,111423.08,1
19.0,4,45,2.22,3,114084.04,1
20.7,1,46,8.56,3,120840.47,1
9.6,5,57,1.59,3,79310.78,0
19.0,3,26,7.75,3,101765.04,1
28.0,2,28,1.53,3,120665.41,1
4.6,3,24,4.69,3,62076.32,0
7.5,3,57,9.19,1,61957.37,0
28.8,4,43,2.31,2,150292.29,1
3.7,4,59,7.93,3,68317.68,0
5.4,5,43,0.65,1,43582.2,0
20.9,1,42,0.8,1,83502.5,0
17.2,2,52,5.54,1,89820.11,0
10.1,4,42,7.4,3,81088.85,0
18.2,2,41,3.31,3,116571.37,1
20.6,2,25,1.09,2,87355.26,0
23.5,5,29,1.38,1,148756.53,1
12.2,2,31,9.22,1,73288.67,0
18.2,4,55,2.51,1,105961.64,1
3.1,1,41,9.37,1,41177.08,0
21.2,4,20,7.79,1,116956.01,1
22.6,3,46,1.24,1,120034.25,1
28.4,1,59,9.12,3,125211.73,1
3.5,3,41,6.24,2,45937.82,0
16.7,2,46,7.35,2,109149.49,1
4.7,3,22,5.53,3,42724.28,0
15.2,3,29,1.85,2,94296.53,1
0.4,5,40,4.09,3,50335.47,0
10.8,2,55,6.09,2,67618.72,0
19.9,2,44,8.84,3,126158.34,1
12.0,3,49,9.34,2,76957.81,0
11.3,4,38,9.51,2,101739.53,1
22.7,3,53,0.12,2,102570.01,1
18.9,5,40,9.47,3,131715.46,1
9.1,3,42,3.79,2,69352.72,0
14.4,5,45,6.6,2,110367.83,1
10.7,1,21,4.22,1,76394.44,0
9.2,5,44,4.11,3,97058.13,1
18.2,5,23,9.33,1,121286.27,1
10.3,2,35,9.13,1,83336.84,0
22.9,2,28,5.74,3,113600.72,1
28.1,1,48,1.37,1,138943.49,1
22.5,3,24,2.44,3,121719.42,1
20.3,4,39,9.06,2,134870.4,1
6.7,2,21,3.62,2,32723.79,0
12.9,3,42,3.0,1,82652.75,0
14.2,5,21,5.37,1,109698.04,1
10.8,3,51,3.7,3,73915.12,0
10.0,2,54,8.82,1,85426.37,0
17.6,1,31,3.57,2,89866.03,0
27.6,5,23,0.25,2,149015.63,1
21.0,3,50,9.69,1,132328.48,1
15.2,2,54,4.9,3,84626.99,0
29.8,3,38,6.13,2,165499.59,1
12.0,4,26,9.1,1,88091.04,0
25.3,3,20,8.16,1,141280.67,1
28.6,4,46,8.43,3,166709.59,1
9.4,4,23,2.72,3,72468.25,0
27.9,2,54,0.71,3,124127.47,1
8.9,5,30,5.76,1,82568.47,0
17.1,5,23,0.78,2,100127.21,1
22.7,5,47,1.66,2,133262.32,1
13.2,3,22,3.49,3,60485.87,0
25.3,3,57,8.77,1,131599.63,1
1.7,2,53,0.44,1,35836.14,0
11.7,4,21,4.18,2,71267.34,0
13.7,3,23,1.07,1,77203.17,0
12.4,1,32,1.47,2,68699.65,0
14.1,5,58,5.18,1,116146.37,1
18.1,5,57,3.56,1,123763.51,1
26.1,2,23,6.88,1,131476.41,1
1.6,1,35,0.23,3,20000.0,0
20.4,4,49,8.59,3,128460.83,1
14.5,2,54,1.15,2,86153.97,0
1.3,3,22,3.18,2,20000.0,0
19.9,5,28,1.85,3,121447.35,1
28.2,3,26,6.78,2,146559.85,1
7.4,4,38,8.77,3,88744.2,0
10.1,3,37,3.71,3,74694.2,0
20.2,5,29,4.94,2,119016.61,1
4.5,2,38,6.28,1,46520.63,0
27.8,1,35,3.76,3,120299.97,1
5.1,4,36,1.48,1,45296.72,0
25.6,4,47,9.69,1,164212.66,1
4.2,4,42,0.7,3,61522.85,0
15.2,5,32,8.98,1,115005.54,1
14.2,1,36,2.92,2,61304.8,0
20.4,4,45,1.24,2,113064.09,1
24.7,4,37,4.17,1,127152.8,1
28.6,2,30,4.39,3,134300.96,1
8.2,5,59,7.03,1,89282.14,0
1.4,3,25,7.55,3,24008.44,0
12.3,2,58,4.43,3,57505.22,0
24.7,3,45,3.94,3,127155.55,1
22.7,4,40,9.51,2,132940.87,1
7.2,4,58,1.19,2,54231.25,0
5.3,5,54,5.14,1,57456.34,0
23.0,5,57,0.97,3,130672.95,1
24.8,1,56,1.66,1,91367.89,0
9.3,1,55,1.87,1,36267.44,0
8.5,3,46,4.39,3,65232.76,0
19.0,4,44,2.11,2,103401.18,1
6.9,5,44,8.1,1,83661.22,0
1.1,1,29,8.31,3,20000.0,0
18.0,4,51,6.34,3,125625.26,1
25.8,4,25,7.93,2,144314.71,1
25.8,3,42,9.43,2,133994.54,1
15.7,5,35,5.05,2,124179.89,1
3.0,1,49,4.83,1,26952.61,0
13.7,2,23,1.61,3,73625.13,0
15.5,5,28,0.8,1,124551.94,1
20.3,3,33,7.91,1,118657.36,1
5.6,1,22,7.69,3,48333.06,0
18.0,2,47,8.31,1,97696.05,1
10.2,1,34,2.02,2,30699.29,0
6.2,1,40,5.14,3,24181.87,0
23.9,4,45,5.42,3,145465.83,1
10.3,2,53,2.82,1,83922.27,0
24.7,1,56,5.04,1,116522.75,1
4.0,2,27,6.75,1,56243.62,0
24.3,2,20,4.3,3,110325.91,1
17.5,5,50,5.0,1,116835.9,1
16.4,2,56,8.17,2,107267.68,1
15.3,1,32,1.28,3,63908.7,0
18.9,5,59,6.13,3,118937.45,1
4.8,3,37,9.18,1,67740.18,0
11.1,4,44,9.25,2,87255.39,0
18.1,4,44,4.98,1,104060.51,1
23.7,1,55,0.3,3,101448.57,1
13.0,4,41,1.46,2,94273.76,1
15.7,4,25,0.7,1,87489.45,0
26.5,3,21,6.1,3,154559.67,1
3.3,3,45,4.37,1,56651.95,0
26.5,1,54,6.06,2,125988.06,1
0.6,5,59,1.78,2,52572.72,0
13.8,3,37,6.33,1,98115.33,1
10.6,1,22,7.81,3,61620.58,0
4.6,3,46,9.52,3,54740.94,0
1.8,3,51,0.92,3,25808.42,0
21.1,3,42,6.61,2,111633.22,1
14.7,3,41,4.63,3,85365.44,0
18.8,5,28,7.84,3,119735.65,1
25.0,1,28,7.09,2,126570.59,1
11.2,2,47,8.01,2,77422.75,0
23.0,1,41,8.54,3,114785.46,1
11.0,1,32,1.19,3,41988.08,0
29.4,4,29,6.48,2,170014.16,1
29.4,5,33,0.51,2,151564.26,1
0.2,3,33,3.39,3,23719.7,0
15.2,1,54,3.99,3,66971.37,0
9.0,2,31,5.27,2,63460.98,0
20.5,5,58,3.77,3,118995.09,1
13.3,4,55,7.04,2,92144.15,1
1.7,5,54,4.02,1,34184.49,0
2.7,4,39,4.05,1,57980.23,0
26.9,2,50,6.14,3,137744.94,1
29.4,3,22,9.25,3,150850.67,1
10.3,2,50,7.98,3,88600.84,0
7.9,4,49,7.62,3,73221.72,0
17.9,4,21,6.18,2,126093.28,1
5.3,2,24,0.17,3,45144.31,0
1.2,5,34,7.71,2,54020.29,0
29.5,2,41,9.56,1,142318.14,1
6.1,4,53,1.94,1,53668.89,0
26.0,1,53,7.75,1,118046.6,1
1.0,5,23,6.35,1,55569.42,0
22.2,2,39,2.47,2,109518.98,1
30.0,2,42,4.53,3,134354.78,1
13.3,1,39,9.99,2,86582.46,0
12.4,5,24,9.22,1,129302.36,1
24.2,4,56,1.18,3,124344.02,1
2.2,2,47,6.43,2,26369.35,0
19.8,1,26,4.23,2,88247.28,0
18.2,1,59,2.75,1,75714.97,0
7.6,4,37,0.04,2,75139.42,0
25.4,1,35,0.83,1,119403.64,1
4.1,4,28,2.75,2,51556.71,0
14.0,1,31,4.84,1,74754.07,0
11.5,4,55,9.87,1,112598.3,1
20.0,3,44,8.2,3,111995.33,1
29.2,2,35,8.31,3,137769.19,1
9.8,3,27,2.83,2,66643.9,0
14.2,4,27,4.86,2,121870.52,1
26.2,4,43,5.97,2,131761.92,1
16.7,5,43,3.42,3,82217.07,0
3.5,1,40,7.42,3,35103.59,0
28.6,3,21,9.07,2,158295.05,1
25.9,1,54,5.56,2,122665.49,1
29.3,3,44,1.56,2,139701.56,1
8.2,2,57,5.4,1,49047.85,0
27.7,5,50,9.59,3,177981.41,1
15.8,5,20,0.55,3,98237.9,1
26.6,5,40,4.0,3,157386.03,1
