advertising_spend,product_rating,category_score,discount,season_index,monthly_sales,bestseller
35450.44,3.09,3.42,18.52,0.76,56780.62,0
25860.38,2.03,8.71,12.96,0.04,30533.47,0
96072.77,3.87,6.51,43.39,0.27,109022.06,1
26559.51,1.3,6.38,36.13,0.31,29994.22,0
38153.73,2.33,6.21,7.04,0.54,78930.46,1
10250.96,3.35,0.07,25.4,0.63,40160.41,0
40569.06,3.86,4.15,46.17,0.28,38160.41,0
48529.25,3.22,7.83,14.52,0.51,60077.9,0
25948.59,3.97,7.65,29.42,0.49,75025.55,1
39539.17,2.89,9.64,40.09,0.15,40405.82,0
60994.65,1.09,6.05,47.57,0.99,40729.35,0
25076.3,4.29,6.14,12.1,0.57,60656.01,0
49802.82,3.48,7.99,28.86,0.84,46522.83,0
86257.99,2.57,9.88,40.54,0.87,99173.25,1
10535.16,4.01,6.79,4.94,0.59,11733.55,0
8571.89,4.17,2.25,45.1,0.87,23815.53,0
31668.81,1.25,5.15,44.07,0.13,11597.86,0
31791.78,4.0,1.94,14.21,0.27,18760.32,0
17489.1,2.06,6.57,4.81,0.51,65225.34,1
76714.37,1.36,9.51,4.46,0.28,118371.3,1
72859.73,4.45,6.8,31.97,0.71,97177.54,1
45805.53,1.77,0.76,22.37,0.73,76433.54,1
8440.29,2.03,0.5,4.65,0.95,20797.23,0
90587.5,1.52,2.21,1.07,0.07,88557.56,1
31127.09,4.13,2.63,44.69,0.81,35716.63,0
15152.73,1.21,9.18,7.01,0.61,57590.16,0
66966.55,3.77,0.06,47.95,0.96,51020.98,0
98375.56,1.62,2.81,2.54,0.92,114078.52,1
57181.19,4.22,4.72,10.79,0.47,62254.15,0
13264.5,3.64,4.24,30.58,0.4,14569.46,0
95241.37,4.34,3.62,7.13,0.85,129957.56,1
6703.14,3.68,5.37,15.86,0.53,57281.22,0
24084.14,2.0,4.86,13.24,0.18,3289.23,0
19019.78,3.77,6.25,41.38,0.05,41696.15,0
17085.15,2.14,5.56,2.62,0.26,19443.8,0
95029.3,1.94,6.66,26.91,0.0,68372.53,1
40486.69,2.72,6.87,21.94,0.76,94946.14,1
15262.99,3.48,2.04,10.8,0.23,49781.37,0
71335.52,1.75,9.08,1.61,0.29,91684.24,1
45322.78,2.2,0.98,31.25,0.39,41672.23,0
7560.74,3.49,0.48,23.9,0.82,32568.85,0
28422.89,2.41,8.07,29.38,0.93,74903.08,1
40505.57,2.31,8.31,9.32,0.03,86921.93,1
8143.8,4.84,4.79,34.25,0.9,51931.51,0
14511.39,2.76,4.45,32.73,0.12,34705.07,0
6371.56,3.43,2.08,13.81,0.07,46874.78,0
31281.84,1.23,5.05,8.49,0.14,39019.09,0
62701.1,1.63,8.58,3.11,0.59,95541.57,1
79335.71,2.95,8.41,0.2,0.23,114171.38,1
38814.01,3.22,6.6,29.14,0.59,57092.56,0
24957.8,1.68,6.2,47.28,0.52,38790.92,0
44802.55,1.79,5.96,21.67,0.82,52255.45,0
43645.06,2.02,0.1,26.33,0.97,36460.22,0
81216.18,1.19,7.24,48.91,0.23,74906.51,1
61795.28,3.12,0.01,17.31,0.25,31217.48,0
95580.03,2.91,9.4,34.94,0.05,78353.61,1
94263.46,1.25,9.5,35.48,0.92,97621.0,1
4546.58,3.76,8.25,30.73,0.78,33216.62,0
3780.92,2.71,5.96,17.5,0.05,43899.62,0
66395.66,3.81,1.53,48.92,0.26,41350.55,0
51695.46,3.25,8.29,24.5,0.47,92735.59,1
99630.21,3.57,1.91,33.14,0.93,114177.33,1
88189.59,1.32,2.09,36.24,0.93,65336.26,1
28085.69,1.08,3.9,1.02,0.59,33674.4,0
52514.88,3.54,3.94,29.72,0.66,93856.73,1
25521.71,3.55,0.86,9.85,0.02,6300.05,0
23272.68,2.2,4.25,4.06,0.22,69527.39,1
74168.56,3.91,5.15,37.51,0.68,108269.42,1
26345.28,4.84,1.8,37.5,0.94,28223.06,0
39924.61,2.18,3.24,8.5,0.86,45581.11,0
8805.73,2.05,3.75,11.75,0.15,20579.74,0
41193.4,4.47,6.58,31.05,0.12,74894.82,1
72451.68,1.65,6.61,31.34,0.02,77403.75,1
48860.98,1.6,1.38,45.15,0.33,13426.07,0
29462.91,4.79,4.06,49.35,0.75,25044.17,0
31238.89,3.07,1.97,38.61,0.9,57985.65,0
9207.59,2.06,1.94,20.29,0.63,31763.17,0
98099.39,1.89,6.15,13.72,0.62,81772.29,1
31054.44,1.43,5.91,40.07,0.03,19687.37,0
16338.1,1.43,9.32,36.23,0.68,38411.87,0
84372.51,1.06,4.77,31.47,0.44,54051.31,0
22327.17,1.22,6.56,49.24,0.91,30853.62,0
68582.85,1.12,7.01,7.15,0.3,68165.47,1
8441.01,4.18,6.72,44.08,0.41,18784.82,0
91518.48,1.52,5.17,6.3,0.38,79245.89,1
30104.0,1.01,4.27,20.51,0.75,59767.58,0
95112.19,1.83,6.85,40.04,0.79,122443.28,1
2490.54,3.64,0.67,24.93,0.59,2881.92,0
51827.96,1.42,7.41,1.82,0.79,81631.93,1
71069.08,1.19,2.33,28.94,0.59,51636.13,0
5282.55,3.32,1.06,43.03,0.96,6596.81,0
15985.08,3.7,3.61,23.32,0.14,55390.95,0
30035.39,3.7,8.19,20.19,0.87,27937.77,0
41314.97,3.28,5.92,25.03,0.98,88762.54,1
44240.91,2.93,7.53,35.78,0.49,66006.01,1
53708.16,1.4,9.63,49.24,0.56,63985.93,1
7439.64,1.74,2.11,31.72,0.39,55459.74,0
57366.71,4.77,0.61,28.52,0.49,38259.43,0
35727.45,3.05,0.37,13.15,0.57,31832.5,0
26976.18,2.91,0.46,11.61,0.77,43540.88,0
11333.44,4.33,0.4,21.93,0.84,35654.76,0
52368.14,2.97,3.35,7.65,0.18,39317.41,0
63644.34,2.72,2.58,34.65,0.81,88966.43,1
35675.13,2.46,8.09,22.67,0.19,39402.08,0
85769.95,4.19,3.14,7.22,0.28,76754.91,1
88012.29,2.79,4.18,23.23,0.51,90499.53,1
44312.32,2.74,3.29,38.39,0.09,46909.72,0
95238.23,4.93,4.71,27.62,0.87,117297.3,1
33525.33,2.82,7.64,0.11,0.14,45443.69,0
5698.89,3.4,1.58,30.67,0.53,16264.56,0
50947.93,1.63,6.18,45.52,0.25,38143.24,0
60022.79,1.93,9.42,18.33,0.78,76536.16,1
7500.7,2.79,2.2,33.43,0.93,23929.76,0
40358.19,2.05,7.85,18.26,0.07,65861.51,1
87069.02,1.03,9.26,13.35,0.67,86835.79,1
74685.62,2.3,5.48,6.3,0.81,74294.38,1
26377.34,3.72,5.31,5.45,0.14,63258.4,1
91767.17,3.98,6.79,6.17,0.67,129484.29,1
47824.61,2.56,6.85,39.34,0.27,48762.04,0
47093.58,4.53,6.96,21.04,0.1,45610.55,0
84287.96,4.71,1.11,7.84,0.46,104255.41,1
13212.86,4.87,1.17,21.96,0.84,44351.86,0
52228.5,4.47,4.29,48.75,0.01,44205.5,0
19180.53,1.09,5.58,21.5,0.58,18565.27,0
54355.75,1.36,7.22,7.4,0.48,58064.56,0
61066.32,3.14,9.3,33.96,0.92,67142.13,1
10099.48,1.88,2.16,21.51,0.38,21595.75,0
69228.69,1.3,7.68,12.0,0.52,107245.49,1
42308.55,1.26,2.29,34.04,0.28,58740.56,0
72871.34,2.0,0.09,14.02,0.63,56292.11,0
70048.17,2.03,7.07,12.06,0.13,66757.21,1
29285.19,2.09,6.56,34.44,0.47,52981.04,0
15150.94,1.39,6.96,19.05,0.29,39529.44,0
8415.14,2.02,1.11,21.71,0.64,24725.03,0
67317.06,3.63,5.95,21.57,0.05,106658.28,1
89599.3,4.64,7.87,36.67,0.27,108877.3,1
10030.76,1.01,4.38,48.2,0.85,14087.14,0
26835.62,1.3,5.16,22.8,0.76,65572.75,1
25177.41,2.59,2.73,48.4,0.16,44393.87,0
92857.79,3.65,3.15,36.38,0.32,88158.97,1
38176.17,4.09,9.98,40.78,0.09,51065.77,0
54251.83,2.7,1.05,6.09,0.67,33789.27,0
80145.96,1.71,7.96,34.58,0.3,107435.61,1
79118.36,3.41,0.64,22.54,0.97,92179.89,1
66004.49,1.84,6.05,31.24,0.28,96274.01,1
65805.32,3.28,9.65,37.2,0.71,104178.96,1
87717.03,1.29,8.73,32.06,0.56,86035.22,1
35936.54,2.56,1.28,35.61,0.71,44366.55,0
64032.92,3.04,3.81,26.94,0.22,88310.62,1
73755.15,1.34,1.23,34.83,0.71,88408.7,1
83174.62,1.64,5.87,49.23,0.26,46660.55,0
80762.89,3.79,5.96,45.24,0.54,89405.85,1
31008.64,1.66,9.29,42.34,0.95,53707.48,0
11934.03,4.36,5.96,30.39,0.09,43298.12,0
73961.96,4.36,2.92,28.72,0.87,86121.05,1
12717.63,2.83,7.93,13.35,0.98,63153.94,1
75667.58,1.94,4.46,38.09,0.37,92250.81,1
45494.88,4.14,3.71,8.66,0.67,117465.97,1
6250.43,2.84,9.29,19.9,0.62,1000.0,0
37416.66,4.68,6.02,37.23,0.48,73378.36,1
48877.7,1.24,6.3,32.69,0.26,18824.01,0
4800.42,4.39,1.95,30.0,0.99,46632.46,0
55689.44,1.74,1.92,41.69,0.1,45283.04,0
38140.9,3.23,3.09,28.76,0.8,61555.36,0
40501.65,2.59,6.72,42.99,0.57,19167.43,0
86063.24,3.8,0.06,28.25,0.69,82735.49,1
17831.95,4.99,3.81,48.84,0.38,18287.51,0
53408.42,5.0,9.33,7.24,0.15,92710.79,1
29100.46,3.83,3.97,4.5,0.21,59761.67,0
50687.61,1.45,1.76,5.45,0.82,44015.97,0
38350.42,3.44,5.11,17.5,0.03,42831.76,0
91822.71,4.34,4.01,37.97,0.08,64340.65,1
47456.01,1.25,1.37,23.65,0.58,60686.47,0
46572.95,2.09,3.57,41.15,0.11,48231.62,0
7298.71,1.24,9.18,3.86,0.77,42042.33,0
958.22,4.08,4.61,36.6,0.26,27204.38,0
8676.01,3.6,2.9,14.25,0.72,30946.67,0
9472.08,1.27,8.61,3.95,0.6,23536.82,0
76650.65,2.08,2.7,46.34,0.75,66320.37,1
20582.34,1.49,8.49,33.15,0.67,24384.47,0
92609.38,1.96,8.75,10.8,0.43,122354.67,1
70538.64,1.08,7.72,17.06,0.38,39396.15,0
98694.71,4.1,2.82,11.4,0.51,96117.76,1
17100.72,2.51,8.26,45.81,0.89,23131.5,0
42731.43,3.48,1.26,47.5,0.08,47915.34,0
38152.62,2.97,2.2,10.59,0.84,76256.87,1
80617.64,3.39,9.56,37.66,0.69,73741.54,1
45358.69,4.07,8.85,3.84,0.04,88821.7,1
80536.49,1.13,1.87,17.17,0.33,78425.65,1
76796.34,1.54,0.32,6.41,0.43,92917.19,1
52038.84,4.57,1.02,15.56,0.51,41587.45,0
20503.28,3.17,6.68,8.87,0.93,56334.09,0
14156.04,3.6,0.69,16.96,0.27,28544.85,0
98022.3,1.14,9.54,1.23,0.66,88213.46,1
75788.27,3.75,8.28,25.45,0.32,99506.6,1
78752.48,1.78,6.97,32.14,0.05,81970.25,1
80240.74,4.2,3.66,30.59,0.11,57671.06,0
48736.18,3.54,7.66,5.66,0.97,100155.67,1
91893.69,3.08,4.11,49.33,0.75,92871.16,1
10580.29,2.27,0.61,6.37,0.65,23976.65,0
81940.53,3.01,1.79,19.52,0.63,94737.27,1
54411.39,1.55,4.91,11.2,0.63,57866.71,0
37242.0,2.31,5.12,30.53,0.28,62359.29,0
50131.35,1.34,6.61,37.97,0.84,45070.15,0
37065.48,3.62,2.26,8.94,0.85,39773.32,0
4964.79,2.42,3.2,17.06,0.77,37018.53,0
65928.88,2.87,1.08,38.42,0.82,66607.11,1
3298.51,4.28,5.88,5.7,0.5,50280.36,0
79926.08,4.7,5.9,29.94,0.5,90691.15,1
75229.51,3.92,0.15,35.82,0.48,77731.63,1
57090.01,4.03,0.8,22.36,0.44,51141.45,0
94097.82,3.38,8.32,10.11,0.98,83670.21,1
23017.6,3.84,7.0,10.64,0.91,51450.91,0
59717.1,2.7,1.28,41.0,0.71,25565.98,0
96318.37,2.07,3.03,13.39,0.69,154625.54,1
83536.67,2.89,6.32,4.86,0.77,104948.01,1
83168.35,2.45,3.2,14.35,0.59,59189.95,0
94596.09,2.28,1.53,19.29,0.08,88964.68,1
28791.07,2.45,3.72,41.27,0.29,19216.51,0
39167.11,4.25,6.25,32.98,0.52,63046.84,1
39591.32,2.03,10.0,43.02,0.26,44561.38,0
79985.29,1.07,2.06,41.4,0.97,75035.68,1
94515.3,3.66,2.24,39.15,0.93,88035.42,1
94476.17,1.27,3.85,24.01,0.98,105200.01,1
59000.54,2.9,9.98,35.53,0.8,91916.12,1
63622.15,3.79,5.53,36.22,0.83,65497.85,1
23882.96,1.21,7.26,42.29,0.97,13435.34,0
48727.13,4.24,0.19,25.6,0.46,28742.12,0
46883.72,3.96,2.42,13.48,0.2,74491.18,1
87031.46,4.84,0.15,0.78,0.6,90781.55,1
38409.57,1.9,0.77,13.65,0.33,56221.01,0
89733.17,3.81,4.85,21.81,0.97,135512.78,1
99864.49,2.02,8.19,46.88,0.05,62331.78,0
82854.04,3.13,1.43,3.28,0.11,63886.54,1
42977.91,4.1,4.97,9.3,0.66,73218.56,1
29581.79,1.2,7.61,33.08,0.54,51639.35,0
41319.22,3.12,7.95,35.59,0.2,54661.65,0
21995.62,3.7,6.11,24.25,0.23,61579.65,0
69054.35,2.61,5.89,32.66,0.18,62176.85,0
36635.36,1.69,3.86,28.97,0.78,55799.99,0
92622.6,3.14,3.55,28.7,0.84,86216.67,1
23735.51,3.14,6.88,11.59,0.06,43079.48,0
25951.5,1.62,0.36,24.04,0.94,44975.23,0
75854.69,4.42,7.14,42.98,0.83,76477.67,1
63012.84,3.71,0.53,18.78,0.45,67065.21,1
96035.42,1.49,9.23,49.06,0.91,139804.23,1
74491.52,3.8,3.19,23.85,0.03,88416.39,1
74476.03,3.63,1.63,47.99,0.6,99650.24,1
53347.25,4.17,7.63,43.24,0.3,48851.78,0
74669.1,4.9,8.34,21.97,0.59,130967.6,1
21798.6,2.22,9.93,29.03,0.72,52446.49,0
29654.99,1.55,5.88,29.5,0.15,8831.63,0
70250.49,1.92,1.74,27.8,0.66,91164.01,1
41628.01,1.88,5.45,22.83,0.01,30815.95,0
93356.38,1.8,6.45,41.32,0.48,91833.94,1
72290.05,5.0,8.58,31.92,0.84,124756.79,1
88504.24,3.2,8.86,29.45,0.74,74377.27,1
29674.04,3.51,2.79,41.17,0.16,29339.16,0
25253.51,4.36,1.58,9.68,0.87,57683.37,0
3882.15,2.47,5.05,8.81,0.59,34894.82,0
28738.43,4.6,9.0,49.38,0.74,53475.66,0
38950.57,2.87,6.83,24.65,0.56,69210.5,1
93998.36,3.67,2.92,8.16,0.11,92874.87,1
42780.64,4.32,0.55,49.44,0.67,61699.75,0
80434.75,2.78,9.81,41.38,0.93,112088.09,1
97731.6,2.5,4.56,2.69,0.04,83767.05,1
54911.21,4.16,2.53,31.37,0.66,68136.36,1
43799.18,4.86,6.94,26.37,0.32,46201.09,0
12122.71,3.96,7.21,49.49,0.12,12566.41,0
83756.92,1.96,8.69,43.97,0.62,77644.51,1
23419.54,3.66,3.56,39.2,0.05,58368.71,0
96868.41,4.16,4.86,1.24,0.8,150557.47,1
82596.76,2.33,0.73,41.48,0.66,73340.58,1
5155.7,4.96,5.07,20.43,0.61,62893.35,1
44678.14,1.81,0.61,15.1,0.68,78909.2,1
57636.78,2.89,0.74,12.56,0.11,51608.38,0
92589.54,4.15,9.73,28.09,0.01,111584.92,1
61823.66,4.16,2.96,35.55,0.59,73089.72,1
77046.58,3.2,9.07,40.54,0.65,101826.66,1
15855.77,3.86,8.03,44.56,0.44,25504.55,0
37832.23,4.65,4.77,6.49,0.84,82912.54,1
96299.8,1.06,8.63,15.07,0.26,100227.71,1
77480.95,2.98,7.26,19.53,0.04,67100.72,1
37168.56,4.08,5.83,14.25,0.42,82636.39,1
50137.89,1.12,8.64,12.86,0.17,95153.13,1
7557.77,4.98,9.7,35.17,0.21,21927.87,0
1801.7,2.96,9.61,2.36,0.53,83395.68,1
89581.35,1.54,3.61,12.84,0.04,79689.87,1
77367.19,4.55,8.61,49.69,0.26,119060.02,1
73501.22,2.7,6.37,11.95,0.58,91194.07,1
35277.36,4.19,6.38,31.42,0.37,75144.95,1
94945.1,4.9,6.64,25.88,0.03,103580.02,1
53851.49,4.9,2.67,29.91,0.38,45717.37,0
28548.75,2.19,0.49,19.0,0.55,1000.0,0
64107.26,3.87,6.98,35.61,0.52,70661.08,1
14044.71,4.89,1.28,5.95,0.43,61155.05,0
15428.4,2.78,3.3,15.64,0.17,61584.81,0
54480.52,4.82,2.37,37.12,0.25,51596.44,0
73589.23,2.64,9.25,18.52,0.67,87375.44,1
8879.75,2.87,5.64,31.74,0.5,52924.65,0
13475.15,1.27,3.17,41.03,0.58,50921.32,0
6764.86,3.19,4.02,13.85,0.17,10999.46,0
22732.16,1.28,9.03,15.22,1.0,64240.5,1
65649.88,2.97,8.82,35.42,0.58,97431.87,1
16950.32,3.99,1.43,27.94,0.48,1000.0,0
34755.58,3.25,8.5,33.57,0.46,58946.85,0
85234.45,1.79,7.7,6.54,0.25,123733.62,1
52743.87,2.4,3.83,38.05,0.86,38443.25,0
39083.34,1.38,1.24,42.52,0.38,39195.84,0
72027.35,4.24,4.16,30.75,0.5,86795.22,1
74154.34,3.56,4.26,31.16,0.97,92254.11,1
69039.95,2.76,9.96,0.52,0.08,101964.61,1
36426.34,3.87,6.59,15.86,0.17,85603.22,1
25291.48,1.12,5.91,10.76,0.24,39767.27,0
56137.32,2.14,2.14,18.62,0.17,59030.42,0
44559.25,1.31,7.55,0.49,0.51,48902.67,0
46073.72,4.91,2.09,30.46,0.12,55095.11,0
5277.65,4.1,0.3,22.99,0.13,8715.06,0
32689.12,3.9,4.44,29.19,0.9,35626.13,0
85291.88,3.04,7.04,5.26,0.4,132931.6,1
22271.41,3.09,1.48,15.01,0.45,54665.81,0
78696.28,3.84,1.93,46.53,0.39,65362.16,1
96037.77,4.59,7.78,36.87,0.62,104048.84,1
22688.58,4.52,8.71,14.58,0.16,42826.0,0
62806.59,1.01,5.26,46.25,0.97,96831.48,1
6200.44,1.95,5.04,2.02,0.62,1000.0,0
5524.26,4.52,4.19,19.94,0.17,41209.76,0
24851.83,2.94,6.56,8.08,0.51,54695.42,0
38036.68,2.58,8.38,41.53,0.76,69736.14,1
42341.95,1.51,9.68,35.26,0.8,81526.32,1
90219.64,2.3,6.72,22.77,0.33,109279.55,1
72568.05,4.34,1.89,37.77,0.1,51166.1,0
11756.87,1.66,0.73,49.43,0.1,1000.0,0
91100.89,3.61,0.11,31.13,0.12,69450.12,1
72030.21,3.54,6.73,4.64,0.71,107199.13,1
40893.2,1.99,9.83,18.96,0.61,67101.35,1
14856.12,1.52,8.55,25.42,0.53,36645.98,0
10074.68,1.97,6.32,42.06,0.75,36878.82,0
70207.55,4.94,8.04,37.16,0.97,122456.76,1
53920.65,4.18,5.73,43.38,0.1,48598.79,0
9132.94,1.34,8.74,1.03,0.56,35025.3,0
85697.63,3.5,1.38,13.24,0.62,74715.37,1
33353.83,4.01,3.59,7.48,0.8,74884.21,1
28425.42,1.94,6.58,7.06,0.09,48508.98,0
51432.16,2.54,5.25,14.99,0.93,73591.63,1
47578.15,2.29,9.06,28.3,0.06,62619.85,0
24888.5,2.66,2.32,46.97,0.3,43877.22,0
23656.95,2.94,7.95,39.61,0.22,39259.35,0
20741.35,3.17,2.95,20.64,0.39,7033.69,0
59107.89,3.59,8.49,14.54,0.36,116318.33,1
68220.26,3.66,1.61,10.09,0.94,70939.74,1
10034.34,3.12,7.49,28.78,0.15,19716.33,0
57006.86,1.82,1.92,25.95,0.17,67046.46,1
14028.17,1.52,4.53,17.05,0.43,52433.51,0
19429.0,1.39,9.15,36.55,0.91,37861.78,0
78481.44,1.87,4.18,3.05,0.76,84196.62,1
87707.12,2.83,2.73,38.68,0.2,86317.89,1
33191.57,3.13,5.46,24.99,0.75,34008.3,0
17802.61,1.35,0.7,35.88,0.99,33871.98,0
20011.06,3.94,2.09,2.75,0.84,42151.29,0
99287.36,3.59,9.11,32.56,0.04,152130.53,1
65403.2,4.63,5.04,49.7,0.93,89705.66,1
23560.57,2.2,0.74,9.15,0.21,50341.27,0
9913.17,2.48,9.28,30.64,0.22,40967.0,0
19014.31,3.59,7.94,24.88,0.55,46140.8,0
69269.26,4.46,5.61,26.75,0.72,86243.5,1
29738.66,3.97,2.24,23.43,0.37,51512.83,0
22059.51,4.66,3.68,1.36,0.68,36506.42,0
6973.94,3.29,8.62,11.44,0.94,33897.15,0
39532.95,3.35,0.1,22.93,0.62,50036.4,0
18784.79,1.93,6.71,39.64,0.08,5933.0,0
42545.93,1.83,0.58,46.78,0.8,80161.22,1
44816.05,2.74,9.06,14.0,0.14,38294.0,0
28506.59,2.34,7.14,5.72,0.37,50802.59,0
33089.64,1.37,5.74,42.57,0.35,21922.15,0
39045.7,1.94,0.8,40.15,0.06,10687.74,0
37192.48,1.4,6.29,29.47,0.7,6090.66,0
19516.6,4.85,2.88,47.51,0.89,71370.37,1
98707.47,2.54,6.71,9.44,0.25,112558.77,1
56334.28,4.74,1.44,21.59,0.35,81274.86,1
25476.06,3.17,1.91,41.39,0.03,14557.22,0
39181.46,2.12,7.54,43.58,0.29,46232.21,0
80177.41,4.41,3.65,46.8,0.23,81979.61,1
9252.31,4.63,4.94,29.54,0.0,79048.56,1
18874.54,4.54,5.98,24.86,0.52,11471.04,0
65384.19,4.17,3.58,47.74,0.79,52504.66,0
14809.86,2.57,3.72,8.23,0.86,63632.71,1
97718.8,4.8,4.69,21.28,0.97,121596.58,1
85953.92,4.16,7.17,40.38,0.96,105136.74,1
14881.35,1.52,1.36,2.37,0.06,30856.12,0
99691.02,4.28,4.38,44.79,0.52,109774.49,1
93347.68,4.87,7.55,27.59,0.77,107481.51,1
88270.75,4.84,1.99,0.46,0.56,106871.21,1
94381.15,4.97,1.32,13.57,0.52,75117.25,1
57202.63,2.07,1.85,40.34,0.84,57705.98,0
88682.38,1.45,6.15,25.65,0.52,79845.0,1
1220.53,2.63,6.62,5.13,0.86,31223.13,0
6363.83,1.34,1.62,17.69,0.43,24912.75,0
40846.15,2.14,0.86,4.63,0.46,33760.93,0
75499.84,4.2,7.19,23.82,0.46,92161.14,1
74686.59,1.31,4.45,25.61,0.04,63792.67,1
52923.18,1.78,1.79,28.61,0.37,7103.44,0
70543.28,2.98,9.04,46.29,0.36,95896.1,1
80459.55,1.77,5.74,18.97,0.96,78901.87,1
89651.32,3.9,9.76,24.74,0.11,104508.35,1
10809.51,3.42,2.52,9.92,0.63,15611.89,0
66469.48,1.15,3.48,28.0,0.71,64587.52,1
83297.0,2.55,2.36,3.63,0.25,86185.46,1
5062.38,4.96,0.01,29.55,0.43,1000.0,0
67209.38,3.71,8.63,19.1,0.11,95789.17,1
37261.07,1.99,8.11,6.75,0.05,65462.19,1
47214.59,2.47,8.62,9.24,0.02,88578.03,1
74543.96,1.76,0.7,49.93,0.64,72353.38,1
74817.53,3.55,9.12,18.02,0.31,89115.56,1
